Time (min),Mean Intensity (A.U.),Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM/min)
0,0.0,-3.564043206775448,-445.505400846931,-267303240508.15863,328244793.4691091
3,0.518718957901001,-3.5451189801023424,-443.1398725127928,-265883923507.6757,294209121.3379198
6,0.7869408130645752,-3.5353335440613383,-441.9166930076673,-265150015804.60037,242322469.38506562
9,0.8241090774536133,-3.5339775483923344,-441.7471935490418,-265048316129.42505,192198643.71502692
12,1.0365409851074219,-3.5262274758110115,-440.77843447637645,-264467060685.82587,154073859.3135632
15,1.1894373893737793,-3.52064941438147,-440.0811767976838,-264048706078.61026,126961521.49770205
18,1.3107757568359375,-3.5162226728193526,-439.5278341024191,-263716700461.45145,105975492.72773221
21,1.4452755451202393,-3.511315768141574,-438.91447101769677,-263348682610.61807,89135568.26222683
24,1.4851360321044922,-3.509861553138439,-438.7326941423049,-263239616485.3829,77888820.13874507
27,1.5273301601409912,-3.5083222007953747,-438.5402750994218,-263124165059.6531,73368377.61985411
30,1.580294132232666,-3.5063899363232474,-438.29874204040595,-262979245224.24356,73766697.68964453
33,1.739168405532837,-3.500593786568815,-437.57422332110184,-262544533992.66113,75724387.37001547
36,1.7897241115570068,-3.498749381952697,-437.34367274408714,-262406203646.45227,77500128.35659057
39,1.9095005989074707,-3.494379621869317,-436.79745273366467,-262078471640.19876,79765370.11428586
42,1.8778343200683594,-3.4955348906897776,-436.94186133622225,-262165116801.7333,83485361.3913749
45,2.114412546157837,-3.4869038971464628,-435.86298714330786,-261517792285.9847,88281995.17618322
48,2.1156535148620605,-3.4868586233566865,-435.85732791958577,-261514396751.7515,93201939.99110448
51,2.2775909900665283,-3.4809507199709295,-435.1188399963662,-261071303997.81973,97994044.82390574
54,2.374384641647339,-3.4774194339534583,-434.6774292441823,-260806457546.50937,102968735.56487936
57,2.425544023513794,-3.475553005660931,-434.4441257076164,-260666475424.56982,108149192.52935396
60,2.6778931617736816,-3.466346647920475,-433.2933309900594,-259975998594.0356,113075231.97535914
63,2.6799516677856445,-3.4662715482276933,-433.2839435284617,-259970366117.077,117155319.48958734
66,2.8627731800079346,-3.459601740453529,-432.4502175566911,-259470130534.01465,120154481.44015194
69,3.0342743396759033,-3.453344928800856,-431.668116100107,-259000869660.0642,123037685.52554014
72,3.149340867996216,-3.4491470003633986,-431.1433750454248,-258686025027.2549,128190716.58509707
75,3.2248566150665283,-3.446391988052435,-430.79899850655437,-258479399103.93262,137374880.6097755
78,3.371840715408325,-3.4410296229608135,-430.1287028701017,-258077221722.061,149114547.73437127
81,3.6029186248779297,-3.4325992953791005,-429.07491192238757,-257444947153.43253,159163896.70518637
84,3.8384573459625244,-3.4240062257019575,-428.0007782127447,-256800466927.64682,163686284.58754152
87,3.903122663497925,-3.4216470654894984,-427.7058831861873,-256623529911.71237,161521009.05553642
90,4.232547044754028,-3.4096288009406863,-426.2036001175858,-255722160070.55148,154254595.72960263
93,4.373673915863037,-3.404480122917928,-425.560015364741,-255336009218.8446,145268627.20701954
96,4.392180442810059,-3.403804956326187,-425.47561954077344,-255285371724.46402,138170428.02787966
99,4.654971599578857,-3.3942176463915277,-424.27720579894094,-254566323479.36456,135308892.104428
102,4.791897296905518,-3.3892222381957904,-423.65277977447374,-254191667864.6843,137698889.44866863
105,4.79399561882019,-3.3891456859145572,-423.64321073931967,-254185926443.59177,145704019.27208993
108,5.133936405181885,-3.3767437553535955,-422.09296941919945,-253255781651.51965,158991096.02654287
111,5.165055751800537,-3.3756084400535467,-421.9510550066933,-253170633004.016,175695212.34162405
114,5.424243927001953,-3.366152576326591,-420.76907204082386,-252461443224.49432,191737775.31312728
117,5.614125967025757,-3.359225181999029,-419.9031477498786,-251941888649.9272,202093819.75897318
120,5.990530729293823,-3.3454929500582082,-418.186618757276,-250911971254.36563,204804002.35291988
123,6.187339544296265,-3.3383128488306717,-417.289106103834,-250373463662.30038,203865045.20369065
126,6.337398290634155,-3.332838312597272,-416.604789074659,-249962873444.79538,205966901.43757677
129,6.458179473876953,-3.328431898575348,-416.0539873219185,-249632392393.1511,213599186.05140966
132,6.818842172622681,-3.3152739783574003,-414.4092472946751,-248645548376.80502,223043257.6629973
135,7.116526126861572,-3.3044136877488617,-413.0517109686077,-247831026581.1646,229472234.2539096
138,7.3213090896606445,-3.2969426687167416,-412.1178335895927,-247270700153.7556,231899782.29102677
141,7.551761627197266,-3.288535156341673,-411.0668945427091,-246640136725.62546,232567984.69361466
144,7.870198011398315,-3.2769177627149393,-409.6147203393674,-245768832203.62042,233747741.066755
147,8.069166421890259,-3.269658873785617,-408.70735922320216,-245224415533.9213,236401622.40515214
150,8.335779190063477,-3.2599321414539695,-407.49151768174625,-244494910609.04773,240635986.406981
153,8.625981330871582,-3.249344807002389,-406.1681008752987,-243700860525.1792,246220779.25426915
156,8.862752914428711,-3.2407067592720407,-405.08834490900506,-243053006945.40308,252902755.40187693
159,9.165432929992676,-3.229664199256247,-403.70802490703085,-242224814944.21854,260738556.27641416
162,9.449639558792114,-3.2192955967915067,-402.41194959893835,-241447169759.363,270065918.77780753
165,9.75801682472229,-3.2080451861550614,-401.0056482693827,-240603388961.6296,280569482.28425205
168,9.996763229370117,-3.199335091777121,-399.91688647214016,-239950131883.2841,290272845.6664527
171,10.398797512054443,-3.184667827779938,-398.0834784724923,-238850087083.49533,296450347.08743197
174,10.835391283035278,-3.1687397431008266,-396.09246788760333,-237655480732.562,298187603.0284332
177,10.981224298477173,-3.1634193726022963,-395.42742157528704,-237256452945.1722,297336855.2331371
180,11.387453079223633,-3.148599082325856,-393.57488529073197,-236144931174.43918,296890350.0251784
183,11.780395030975342,-3.134263530383794,-391.7829412979743,-235069764778.78458,299325097.91528
186,11.957725524902344,-3.127794049343988,-390.97425616799853,-234584553700.79913,305746971.55121154
189,12.333710193634033,-3.114077143516056,-389.25964293950705,-233555785763.7042,314967403.7014308
192,12.716216087341309,-3.1001223263148368,-387.51529078935465,-232509174473.61276,323746934.66700804
195,13.13497281074524,-3.08484498386595,-385.60562298324373,-231363373789.94626,328841318.103325
198,13.381923198699951,-3.075835586681823,-384.4794483352279,-230687669001.13675,328511355.01688737
201,13.874585628509521,-3.0578619704238674,-382.23274630298346,-229339647781.79007,322754948.4339506
204,14.19467806816101,-3.0461841595552923,-380.7730199444116,-228463811966.64694,313941560.58998
207,14.555354833602905,-3.0330257261474127,-379.1282157684266,-227476929461.05597,306964475.5884767
210,14.810297012329102,-3.023724767496754,-377.96559593709424,-226779357562.25653,306506615.0547771
213,15.06225037574768,-3.0145328486594734,-376.8166060824342,-226089963649.4605,313613407.0267521
216,15.550122737884521,-2.996733986620613,-374.5917483275766,-224755048996.54596,326083911.0129795
219,15.87448239326477,-2.984900496541776,-373.11256206772197,-223867537240.63318,343071808.1043182
222,16.17521905899048,-2.973928835019828,-371.7411043774785,-223044662626.4871,370756289.9211529
225,16.625037908554077,-2.957518264823159,-369.68978310289486,-221813869861.7369,427535455.5253644
228,17.128873825073242,-2.939137010494528,-367.392126311816,-220435275787.0896,542357001.2447182
231,17.400769233703613,-2.929217553598025,-366.1521941997531,-219691316519.85187,730446917.6179581
234,17.847742080688477,-2.912910813032203,-364.1138516290254,-218468310977.41522,950255039.735624
237,18.13095188140869,-2.9025785774675694,-362.8223221834462,-217693393310.06772,1091737649.7156296
240,23.10297918319702,-2.721185994353475,-340.1482492941844,-204088949576.51062,1038273259.3041823
243,23.372965812683105,-2.7113361747213234,-338.91702184016543,-203350213104.09924,755953863.2575886
246,23.90153217315674,-2.692052689001315,-336.5065861251644,-201903951675.09863,323210947.4496321
249,24.18355917930603,-2.6817636048816533,-335.2204506102067,-201132270366.124,-111086584.5824605
252,24.54832673072815,-2.668455928882999,-333.55699111037495,-200134194666.22495,-395050734.9080941
255,20.17351007461548,-2.828060702898905,-353.50758786236315,-212104552717.41788,-445193095.37075007
258,20.57119131088257,-2.813552249440384,-351.69403118004806,-211016418708.02878,-294373363.1097628
261,21.101421356201172,-2.7942080681382313,-349.2760085172789,-209565605110.36734,-62553917.994128525
264,21.23289728164673,-2.7894114818995943,-348.6764352374493,-209205861142.46957,135660547.11722773
267,21.716952562332153,-2.771751876993168,-346.468984624146,-207881390774.48758,254735319.52086884
270,22.00036597251892,-2.76141221322172,-345.176526652715,-207105915991.629,307544154.06988066
273,22.48523736000061,-2.743722834601095,-342.96535432513684,-205779212595.08212,323601339.30234694
276,22.774542570114136,-2.733168222531289,-341.64602781641116,-204987616689.84668,324384914.99119854
279,23.123273134231567,-2.7204456178478145,-340.05570223097686,-204033421338.5861,319928555.9157036
282,23.48092031478882,-2.707397711634303,-338.4247139542879,-203054828372.57272,313370630.80370647
285,23.860262155532837,-2.693558327375278,-336.69479092190977,-202016874553.14584,306445348.8334476
288,24.21878480911255,-2.6804784816120915,-335.0598102015114,-201035886120.90683,302196121.6527546
291,24.406647443771362,-2.6736247604832624,-334.2030950604078,-200521857036.2447,302682577.3934922
294,24.716211795806885,-2.662331041835425,-332.7913802294281,-199674828137.65686,305697417.2730579
297,25.239487648010254,-2.643240567718708,-330.4050709648385,-198243042578.9031,306415020.1092353
300,25.51936173439026,-2.6330300277530676,-329.12875346913347,-197477252081.48007,302619907.681595
303,25.804186582565308,-2.6226388710257162,-327.82985887821457,-196697915326.9287,296407732.499819
306,26.13298797607422,-2.610643334702204,-326.3304168377756,-195798250102.6653,291132640.81951797
309,26.487532377243042,-2.597708626010335,-324.7135782512919,-194828146950.77512,288780355.09972537
312,26.748948574066162,-2.5881714782170087,-323.5214347771261,-194112860866.27567,289875873.7644669
315,27.046276569366455,-2.5773241739231936,-322.1655217403992,-193299313044.23953,293570101.06517816
318,27.428534507751465,-2.563378402781795,-320.4223003477244,-192253380208.6346,297270005.50011176
321,27.67655348777771,-2.554330020559094,-319.2912525698868,-191574751541.93207,297788242.53667337
324,28.14974331855774,-2.5370668157336427,-317.13335196670533,-190280011180.0232,294125119.0886425
