index,Mean Intensity (A.U.),Time (s),Time (min),Time (h),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Protein Mass (ug),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
1,0.31386399269104000,180,3.0,0.05,0.011450580804384100,0.14313226005480200,0.022901161608768200,171758712.06576200,-52571354.358623900
2,0.0,360,6.0,0.1,0.0,0.0,0.0,0.0,-32702236.06740570
3,0.04729342460632320,540,9.0,0.15,0.0017253880425327500,0.021567350531658000,0.003450776085065500,25880820.637991200,-12322923.928711000
4,0.07647180557250980,720,12.0,0.2,0.002789891830080380,0.034873647876004600,0.005579783660160760,41848377.45120570,2066716.2376287600
5,0.383375883102417,900,15.0,0.25,0.013986556693802200,0.17483195867253100,0.027973113387604400,209798350.40703300,7217073.624153130
6,0.5422496795654300,1080,18.0,0.3,0.019782689051965900,0.24728361314957300,0.03956537810393180,296740335.77948800,4166368.527420290
7,0.4972872734069820,1260,21.0,0.35,0.018142342669882800,0.22677928337353500,0.03628468533976560,272135140.0482420,-2771456.15622632
8,0.3456251621246340,1440,24.0,0.4,0.012609311482353600,0.1576163935294200,0.025218622964707100,189139672.23530300,-8516476.282520510
9,0.2795882225036620,1620,27.0,0.45,0.010200110902443400,0.12750138628054600,0.020400221804886900,153001663.53665200,-9796897.137350860
10,0.005989789962768560,1800,30.0,0.5,0.00021852323161342100,0.002731540395171100,0.00043704646322684200,3277848.474201320,-6427875.430454030
11,0.0662684440612793,1980,33.0,0.55,0.0024176464684542200,0.03022058085567640,0.004835292936908430,36264697.02681320,-709763.7374823790
12,0.17880582809448200,2160,36.0,0.6,0.00652330509573984,0.08154131369674640,0.01304661019147970,97849576.43609760,4666762.996946150
13,0.2740626335144040,2340,39.0,0.65,0.009998522938590600,0.12498153673238100,0.019997045877181200,149977844.07885900,8737231.295042030
14,0.2561972141265870,2520,42.0,0.7,0.009346745630367080,0.11683432037959200,0.018693491260734200,140201184.45550600,12714934.766777100
15,0.32091259956359900,2700,45.0,0.75,0.011707732451059300,0.14634665563824,0.023415464902118500,175615986.76588900,18537974.42171940
16,0.3088266849517820,2880,48.0,0.8,0.011266806619870900,0.14083508274838500,0.02253361323974180,169002099.29806300,26911853.48159330
17,0.5395362377166750,3060,51.0,0.85,0.019683695583869300,0.24604619479836700,0.039367391167738600,295255433.7580390,36310023.73399440
18,0.7572755813598630,3240,54.0,0.9,0.027627397336029700,0.3453424667003700,0.055254794672059400,414410960.0404460,43478190.06845680
19,1.1091442108154300,3420,57.0,0.95,0.04046448686504390,0.5058060858130490,0.08092897373008780,606967302.9756580,45357469.72911850
20,1.6150789260864300,3600,60.0,1.0,0.05892231087117760,0.7365288858897190,0.11784462174235500,883834663.067664,41553182.27789810
21,1.8919427394866900,3780,63.0,1.05,0.06902302819134000,0.8627878523917510,0.13804605638268000,1035345422.8701000,35270111.54907990
22,1.6610641479492200,3960,66.0,1.1,0.06059997225002120,0.7574996531252620,0.12119994450004200,908999583.7503180,31187428.334856900
23,1.8363046646118200,4140,69.0,1.15,0.06699320544329930,0.8374150680412460,0.13398641088659900,1004898081.64949,31963030.439450900
24,2.0565617084503200,4320,72.0,1.2,0.0750287594951784,0.9378594936897290,0.1500575189903570,1125431392.427680,36870880.890637800
25,2.2403788566589400,4500,75.0,1.25,0.08173489067877740,1.0216861334847100,0.16346978135755500,1226023360.1816600,43470340.612992
26,2.5564253330230700,4680,78.0,1.3,0.0932650942058535,1.1658136775731700,0.186530188411707,1398976413.0878000,49959275.2114597
