Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.6006553173065186,0.021913479744621878,0.22684761640395124,272217139.6847438,-89162685.27723327
2.0,0.20717501640319824,0.007558287414987319,0.07824314094189333,93891769.13027726,-68054284.92118596
4.0,0.0,0.0,0.0,0.0,68348697.86309719
6.0,0.8104288578033447,0.029566568126904613,0.306072133818887,367286560.58266604,71096714.06463243
8.0,0.6275081634521484,0.022893141928811644,0.23698904688210476,284386856.2585297,1406207.4059111327
10.0,0.8228402137756348,0.030019366911608003,0.3107594918385921,372911390.2063106,35711028.354105175
12.0,0.9426980018615723,0.034392093058833506,0.35602580806245854,427230969.6749504,31983013.334369257
14.0,1.105126142501831,0.0403178972052749,0.4173695362864862,500843443.5437876,37468969.94816436
16.0,1.2734036445617676,0.04645710138214243,0.48092237455633935,577106849.4676079,38051258.7247324
18.0,1.4409711360931396,0.05257040251463874,0.5442070653689299,653048478.4427172,33695762.44730052
20.0,1.5708065032958984,0.057307136890173194,0.5932415827140076,711889899.25681,32245848.266453058
22.0,1.7255768775939941,0.06295356565643662,0.6516932262571054,782031871.5085294,35937531.01654339
24.0,1.8879954814910889,0.06887902187750017,0.7130333527691519,855640023.3229835,22277894.246043473
26.0,1.9222042560577393,0.07012704760366262,0.725952873743914,871143448.4927033,8719555.625109792
28.0,1.9649553298950195,0.07168671878878552,0.742098538186184,890518245.8234227,22370332.1841287
30.0,2.11964750289917,0.07733029456695206,0.8005206476910125,960624777.2292181,17054934.64137131
32.0,2.1154842376708984,0.07717840774330709,0.7989483203240901,958737984.3889079,6024295.499870181
34.0,2.172818660736084,0.07927011771791026,0.820601632690579,984721959.2286988,26227576.629877865
36.0,2.3469719886779785,0.08562368741812776,0.8863735757570126,1063648290.9084194,17615397.043313175
38.0,2.328294277191162,0.0849422755658571,0.8793196228349593,1055183547.4019516,-5640037.85250029
40.0,2.297192335128784,0.08380759522962267,0.8675734495820144,1041088139.4984182,-41773060.79129639
42.0,1.9596002101898193,0.07149134999105966,0.7400760868639686,888091304.236766,-64466871.73305333
44.0,1.7281999588012695,0.0630492625315795,0.6526838771385002,783220652.5662049,-7073636.2780557275
46.0,1.897167444229126,0.06921363910952572,0.716497299270447,859796759.1245431,41815930.16819361
48.0,2.0972723960876465,0.07651399204573783,0.7920703110324823,950484373.2389793,2695557.266478747
50.0,1.9209587574005127,0.07008160854933188,0.7254824901587114,870578988.190458,-16771921.117892087
52.0,1.9492413997650146,0.07111343344577659,0.736163907306171,883396688.767411,-2497769.252838671
54.0,1.8989131450653076,0.06927732684991783,0.7171565926492498,860587911.1791034,31168522.18614629
56.0,2.2243385314941406,0.08114969758971569,0.8400589812599968,1008070777.5119962,58690473.06480986
58.0,2.4169223308563232,0.0881756591767866,0.9127915028652858,1095349803.4383428,60796042.89535424
60.0,2.7609317302703857,0.10072602340201975,1.0427124575778421,1251254949.093413,60812979.94596237
62.0,2.953665018081665,0.10775743871938648,1.1155014360184907,1338601723.2221923,67198869.32053566
64.0,3.354037046432495,0.12236405932323224,1.2667086886462968,1520050426.3755558,46937969.80305344
66.0,3.3679451942443848,0.12287146499596968,1.271961335362004,1526353602.434406,24821990.51928419
68.0,3.5731189250946045,0.13035674027044175,1.349448657043908,1619338388.4526925,43772902.366526425
70.0,3.7542901039123535,0.1369663395579912,1.4178710099170928,1701445211.9005117,41839917.57001138
72.0,3.9424030780792236,0.14382919372798542,1.4889150489439444,1786698058.732738,-13425354.410176456
74.0,3.635796308517456,0.13264337543791438,1.3731198285498323,1647743794.259806,-86922321.3756603
76.0,3.1752161979675293,0.11584020624502278,1.1991739776917427,1439008773.2300968,-82844787.22064763
78.0,2.9045982360839844,0.10596735395286583,1.096970537814343,1316364645.3772154,-34363222.70802665
80.0,2.871922254562378,0.10477524853303821,1.0846299019983192,1301555882.3979902,-8377248.91808331
82.0,2.8306596279144287,0.10326987980124303,1.0690463747540697,1282855649.7048821,20485349.20409113
84.0,3.0527284145355225,0.11137153097675556,1.1529143993452955,1383497279.2143548,14390334.089401186
86.0,2.9576704502105713,0.1079035673780302,1.1170141550520718,1340416986.062487,14259294.80311662
88.0,3.1785826683044434,0.11596302390335911,1.2004453820223517,1440534458.4268212,28405135.678714752
90.0,3.2083775997161865,0.11705002106657636,1.2116979406477881,1454037528.777346,8866451.448406696
92.0,3.2568390369415283,0.11881802126974605,1.2300002201837046,1476000264.220448,31149721.249585807
94.0,3.483308792114258,0.12708023130894297,1.315530344813073,1578636413.7756891,44160293.50332284
96.0,3.6466031074523926,0.13303763577781602,1.377201198528116,1652641438.2337394,32715898.69329846
98.0,3.7720632553100586,0.13761475068818507,1.4245833404574029,1709500008.548883,34882949.74742091
100.0,3.954484224319458,0.14426994559648554,1.4934776976861883,1792173237.223423,37197679.99719536
102.0,4.100374460220337,0.149592403647282,1.5485756071147136,1858290728.5376644,10516908.95256126
