Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.35092759132385254,0.012802757992367741,0.13885854655496388,166630255.8659576,-83315127.9329788
2.0,0.0,0.0,0.0,0.0,-41513591.91688549
4.0,0.0012128353118896484,4.424740991160192e-05,0.00047990683201604156,575888.1984156432,134851885.82974824
6.0,1.1360061168670654,0.04144447957834263,0.44950628609916166,539407543.318993,53929150.52998633
8.0,0.4555175304412842,0.0166184730061274,0.1802437419319709,216292490.31836095,-59400145.01888855
10.0,0.635613203048706,0.02318883500920421,0.2515058027028694,301806963.2434388,27406029.172941245
12.0,0.6863887310028076,0.025041259305278007,0.2715971725084394,325916607.01012594,32295786.393761963
14.0,0.9076762199401855,0.03311440669422039,0.359158424015412,430990108.81848663,54633954.137478605
16.0,1.1466307640075684,0.04183209454352976,0.45371035296670215,544452423.5600404,39816663.24571918
18.0,1.243095874786377,0.04535139453173809,0.4918806348344731,590256761.8013633,26456526.854835898
20.0,1.3695032596588135,0.04996306713024934,0.5418987758161542,650278530.979384,32719862.900796294
22.0,1.5187313556671143,0.05540729906324948,0.6009468445037918,721136213.4045485,67412117.40942359
24.0,1.937389850616455,0.07068105788074552,0.7666058338475708,919927000.6170783,54000018.62752992
26.0,1.973633050918579,0.07200330478811034,0.7809469065955561,937136287.9146682,40728750.37813878
28.0,2.2804930210113525,0.08319836049696017,0.9023683351080329,1082842002.1296334,54600614.43344131
30.0,2.433594226837158,0.08878389362398798,0.9629489547070271,1155538745.6484334,29435166.202326953
32.0,2.5284578800201416,0.09224476824314198,1.0004855557824541,1200582666.9389412,46704623.45813882
34.0,2.8270387649536133,0.10313778123345596,1.1186310329008258,1342357239.4809887,55287559.50676799
36.0,2.994205951690674,0.10923647819822202,1.1847774208050161,1421732904.9660132,56007759.37826371
38.0,3.298853874206543,0.120350832615709,1.3053235641617036,1566388276.9940436,15778227.200043082
40.0,3.1271233558654785,0.11408565335770193,1.237371511471821,1484845813.7661855,1321842.8497746587
42.0,3.3099892139434814,0.12075707898487309,1.3097297069942861,1571675648.3931422,53051931.40721923
44.0,3.57403826713562,0.13039028027685395,1.4142112828292177,1697053539.3950624,67664485.95008028
46.0,3.8800017833709717,0.14155263100019777,1.5352779934945566,1842333592.1934633,80416583.1206525
48.0,4.251475811004639,0.15510497682260116,1.6822665598980606,2018719871.8776724,66827512.208589435
50.0,4.442963600158691,0.1620909530856376,1.7580363675231894,2109643641.027821,66856238.693816125
52.0,4.8146796226501465,0.17565212751450066,1.9051206888774495,2286144826.652937,75061739.85871506
54.0,5.075291395187378,0.18515992780221602,2.0082421670522344,2409890600.4626813,94922382.68590236
56.0,5.614315509796143,0.2048249397933013,2.221528631163789,2665834357.3965464,113697220.97542548
58.0,6.033088445663452,0.2201028737153301,2.387232903636992,2864679484.364383,120177717.92891824
60.0,6.626704931259155,0.24175955843678887,2.6221210242601813,3146545229.1122193,122385553.50778317
62.0,7.064076900482178,0.25771603382672215,2.795184748662926,3354221698.395516,125023635.42006612
64.0,7.679916858673096,0.2801834890558892,3.038866475660406,3646639770.792484,132797163.83223867
66.0,8.18277382850647,0.29852902884449684,3.2378419614370593,3885410353.7244706,135690218.06512356
68.0,8.822985172271729,0.32188561607457045,3.491167202544151,4189400643.052978,113017068.37151158
70.0,9.134841203689575,0.3332629411906747,3.6145655226754307,4337478627.210517,130300053.96223676
72.0,9.92064619064331,0.3619311659922979,3.925500715751607,4710600858.901925,74675050.23541117
74.0,9.763911485671997,0.35621307329635776,3.8634823567934653,4636178828.152162,-6238854.854115963
76.0,9.868089437484741,0.36001375793379964,3.904704532904553,4685645439.485461,43400228.59837079
78.0,10.12951946258545,0.3695514102189237,4.008149785454709,4809779742.545645,99715771.7469225
80.0,10.708105325698853,0.39065973845068713,4.237090438727627,5084508526.473151,130688102.07942486
82.0,11.230449438095093,0.40971622025800025,4.443776792386121,5332532150.863344,127983170.94733238
84.0,11.786248683929443,0.42999323298850056,4.663701008552064,5596441210.262481,135160660.16849208
86.0,12.369056701660156,0.45125559648311686,4.894312326281092,5873174791.5373125,156764646.8745029
88.0,13.106850147247314,0.47817223446126444,5.186249831467077,6223499797.760492,149617101.12267232
90.0,13.629446506500244,0.49723791889481816,5.393035996690006,6471643196.028002,144917334.93173194
92.0,14.327648639678955,0.5227101620636168,5.669307614572855,6803169137.48742,164926563.02733397
94.0,15.018804788589478,0.5479253492652187,5.94279120678112,7131349448.137338,172875393.75428033
96.0,15.783968687057495,0.5758405330774323,6.245558927087121,7494670712.504541,142734320.16818047
98.0,16.221213340759277,0.5917923636635729,6.418572274008387,7702286728.81006,144523032.08229232
100.0,17.001445531845093,0.6202572782707234,6.727302367361428,8072762840.833711,189663802.6658535
102.0,17.818960666656494,0.6500823723495452,7.05078494956123,8460941939.473474,159429332.62532067
104.0,18.344494581222534,0.669255226497572,7.2587334761125,8710480171.334993,33042193.876410723
106.0,18.09731149673462,0.6602373399342287,7.160925595815936,8593110714.979116,160399240.65362167
108.0,19.695714235305786,0.7185512597917851,7.793397611624574,9352077133.94948,305897444.9280114
110.0,20.674222946166992,0.7542498213421043,8.18058374557597,9816700494.691162,217117633.84229183
112.0,21.52473545074463,0.7852787459259827,8.517123057765541,10220547669.318647,199299911.0970068
114.0,22.353145837783813,0.8155013273525844,8.844916782565992,10613900139.07919,226449920.77698135
116.0,23.43237280845642,0.8548743549114417,9.271956127022154,11126347352.426573,215181525.3419118
118.0,24.165857076644897,0.8816337828076652,9.562188533705697,11474626240.446836,166982954.84024
120.0,24.839054346084595,0.9061937830323421,9.82856597648961,11794279171.787533,179945080.82545996
122.0,25.681732892990112,0.93693690431469,10.162005469790568,12194406563.748676,181961114.0492692
124.0,26.37191343307495,0.9621164987501509,10.435103023320519,12522123627.98461,154445726.1187744
126.0,26.982799530029297,0.9844032241418601,10.676824556853152,12812189468.223774,133078881.50115442
128.0,27.49298357963562,1.0030160749981722,10.878699294991026,13054439153.989227,151602058.7989154
130.0,28.259910821914673,1.0309955902127266,11.182164752849527,13418597703.419436,150373952.0270443
132.0,28.759749174118042,1.0492310029211507,11.37994580174784,13655934962.097404,141069967.04824257
134.0,29.448298692703247,1.0743510934188865,11.652397976343675,13982877571.612406,153389299.01132345
136.0,30.051916360855103,1.096372647483964,11.891243465118915,14269492158.142698,139570444.51940012
138.0,30.624054431915283,1.1172457433678487,12.117632791408337,14541159349.690006,135412406.06611967
140.0,31.192644357681274,1.1379893936149514,12.342618152005986,14811141782.407177,141785865.02244234
142.0,31.81847310066223,1.160821265884746,12.590252341483147,15108302809.779776,136199851.38480902
144.0,32.34000587463379,1.1798481479405494,12.796617656622015,15355941187.946413,149120599.9105196
146.0,33.07468032836914,1.2066509969239125,13.087321007851546,15704785209.421854,156624891.8163247
148.0,33.65943002700806,1.2279841980254331,13.318700629343095,15982440755.211712,130639224.60160589
150.0,34.175198554992676,1.246800785284806,13.5227850898569,16227342107.828278,127956340.69315004
152.0,34.73734736442566,1.2673094467317947,13.745221764986933,16494266117.984312,144183776.53705597
154.0,35.38981747627258,1.291113265940528,14.00339767831375,16804077213.976501,148235258.12641382
156.0,35.98609638214111,1.3128670827293125,14.23933929207497,17087207150.489967,118882026.08638477
158.0,36.39129185676575,1.327649675291077,14.399671098601704,17279605318.32204,123838689.13092518
160.0,37.02932620048523,1.3509268398555503,14.65213492251139,17582561907.013668,159904409.25686646
162.0,37.73834300041199,1.376793630402687,14.932685796124591,17919222955.349506,163337917.63939857
164.0,38.405301570892334,1.401126026543392,15.196594647976053,18235913577.571262,125247220.87158585
166.0,38.79343843460083,1.4152862762838878,15.350176532363204,18420211838.83585,117203550.29045773
168.0,39.3926362991333,1.4371465843326594,15.587273148944245,18704727778.733093,128247058.38403893
170.0,39.873804807662964,1.454700872227249,15.777666726976673,18933200072.372005,126537648.55032349
172.0,40.45860242843628,1.476035821653792,16.009065310778656,19210878372.934387,146586867.30959606
174.0,41.108667612075806,1.4997519027803983,16.26628961800866,19519547541.61039,153068637.8511057
176.0,41.74806833267212,1.5230789163533651,16.519294103615675,19823152924.33881,135093188.30565548
178.0,42.24670648574829,1.541270542653003,16.71660024569417,20059920294.83301,127285329.62099075
180.0,42.8203330039978,1.5621979409902162,16.943578535685642,20332294242.822773,140591805.5035038
182.0,43.431066274642944,1.5844790908777466,17.18523959737252,20622287516.847027,152924184.66824913
184.0,44.10858201980591,1.6091966404115916,17.453325817913136,20943990981.49577,153257383.59492683
186.0,44.72212219238281,1.6315801934359206,17.69609754268895,21235317051.226734,146466697.20489502
188.0,45.342432498931885,1.654210738685896,17.941548141929463,21529857770.31535,169677555.75843143
190.0,46.15150332450867,1.683727762239012,18.261689395217058,21914027274.26046,150137574.09146214
192.0,46.60720682144165,1.7003530197900054,18.442006722234336,22130408066.6812,124253963.7296772
194.0,47.19823145866394,1.721915147091933,18.675869274315975,22411043129.17917,171445465.73496532
196.0,48.05148100852966,1.7530439262592181,19.013491608017556,22816189929.62106,166218915.2390728
198.0,48.59847664833069,1.772999760375408,19.229932325112888,23075918790.13546,133298108.45146847
200.0,49.17439794540405,1.794010878256636,19.457818636189106,23349382363.426933,148809136.88596916
202.0,49.852060079574585,1.8187337684450289,19.725962781399442,23671155337.679337,158892189.80451107
204.0,50.512922048568726,1.842843744589889,19.98745926887082,23984951122.644978,130083798.71729183
206.0,50.94789934158325,1.8587128559174766,20.15957544379042,24191490532.548504,132236728.50173664
208.0,51.62689781188965,1.8834844991494228,20.42824836387661,24513898036.651924,137732770.22160053
210.0,52.108174324035645,1.9010427272989152,20.618684677862422,24742421613.434906,127531811.35482311
212.0,52.70123887062073,1.9226792758391382,20.853354401726012,25024025282.071217,137149693.3263836
214.0,53.26353740692139,1.943193399714557,21.075850322283703,25291020386.74044,150052498.41206074
216.0,53.965296506881714,1.9687954103511118,21.353529396432887,25624235275.71946,161769253.43231678
