Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.15999364852905273,0.005836987495642543,0.07464178383174414,89570140.59809528,-44785070.29904764
2.0,0.0,0.0,0.0,0.0,-3792764.7969409414
4.0,0.13289451599121094,0.0048483401385732705,0.06199923450861888,74399081.41033152,174767733.4608369
6.0,1.2487075328826904,0.04555612252212482,0.5825591115361277,699070933.8433475,372777872.09471816
8.0,2.7963755130767822,0.10201910546459647,1.304592141491014,1565510569.7892041,-91527054.00378256
10.0,0.5947508811950684,0.02169807044513883,0.27746893152352214,332962717.8282173,-272930774.42277783
12.0,0.8462975025177002,0.030875150265059048,0.394822893415089,473787472.09809285,45453714.357760414
14.0,0.9195156097412109,0.03354633865439505,0.4289813127160542,514777575.259259,32993369.817630097
16.0,1.082033634185791,0.0394754219975213,0.5048007928071812,605760951.3686132,44771555.934153646
18.0,1.2394063472747803,0.045216790901231096,0.5782198324965648,693863798.9958736,38799307.82077995
20.0,1.3592529296875,0.049589108236137935,0.6341318188764475,760958182.651733,34758646.19221246
22.0,1.487755298614502,0.05427721134200114,0.6940819864706071,832898383.7647234,36208754.22990847
24.0,1.6179628372192383,0.05902752350540075,0.7548276663094811,905793199.5713669,55813993.330723226
26.0,1.8865437507629395,0.06882605893687632,0.8801286309063556,1056154357.0876163,53774792.458788306
28.0,2.0021812915802,0.0730448194063249,0.9340769745054374,1120892369.4065201,28869219.44592628
30.0,2.092813014984131,0.07635130213911445,0.9763593623927704,1171631234.8713214,53929857.28266305
32.0,2.387507677078247,0.08710253553800573,1.1138431654476477,1336611798.5371723,78865462.21751434
34.0,2.6563031673431396,0.09690889929047986,1.2392442364511567,1487093083.7413788,47901916.638400555
36.0,2.729764699935913,0.09958896847508214,1.2735162209089808,1528219465.0907745,59998741.44724053
38.0,3.084991455078125,0.11254857122772721,1.4392400412752906,1727088049.530341,52951183.68260819
40.0,3.1080985069274902,0.11339157702168201,1.4500201665176746,1740024199.8212073,40722785.68664873
42.0,3.3759539127349854,0.12316364403004698,1.5749826602307877,1889979192.2769358,67063917.939440906
44.0,3.5872671604156494,0.13087290496456294,1.673566559649153,2008279871.578971,97075918.7546987
46.0,4.069556951522827,0.14846810018543843,1.8985690560797792,2278282867.2957306,130768364.97865367
48.0,4.52160120010376,0.16495985876899866,2.1094611095779925,2531353331.4935856,120330069.74612057
50.0,4.929309844970703,0.1798341383659272,2.2996692885668466,2759603146.280213,91489781.05171251
52.0,5.175291538238525,0.18880819502981172,2.414427046417039,2897312455.7004356,118838984.81930995
54.0,5.778409004211426,0.21081150040882735,2.6957992379645503,3234959085.5574527,234899716.53530765
56.0,6.853639364242554,0.25003872114001524,3.197426101534731,3836911321.841666,192130789.26586545
58.0,7.151174783706665,0.26089359281079627,3.336235202184106,4003482242.6209145,139819285.52164865
60.0,7.852641820907593,0.28648494823265835,3.6634903866068953,4396188463.928261,206445538.2512853
62.0,8.626218795776367,0.31470706311496466,4.024386996355055,4829264395.626056,233971429.82659078
64.0,9.524357080459595,0.34747350094078966,4.443395152695523,5332074183.234624,237050369.20662785
66.0,10.31993293762207,0.376498192688159,4.814554893710479,5777465872.452567,225806350.87590194
68.0,11.137733221054077,0.4063336897357748,5.1960829889485325,6235299586.738232,233888107.92746973
70.0,11.991052865982056,0.43746502615458605,5.594181920135377,6713018304.162446,257355151.8770013
72.0,12.976524114608765,0.47341759932504646,6.0539334952052,7264720194.246237,168409875.46911073
74.0,13.194333791732788,0.4813638670268676,6.155548171699081,7386657806.038889,163744149.43751693
76.0,14.14646863937378,0.5161002409450925,6.599747326663596,7919696791.9963045,252090455.84571648
78.0,14.995508670806885,0.547075445850651,6.995849691184802,8395019629.421755,291270768.6501477
80.0,16.227585077285767,0.5920248213065644,7.570649888830751,9084779866.596895,375682459.483202
82.0,17.67974281311035,0.6450033402892723,8.248124556128808,9897749467.354563,393773422.3396683
84.0,19.041078329086304,0.6946684267297711,8.883227963296314,10659873555.955568,401188904.51748323
86.0,20.54621934890747,0.7495799147334963,9.585420904520419,11502505085.424496,427611356.5412636
88.0,22.096342086791992,0.806132453668194,10.30859915176719,12370318982.120623,427679929.42980814
90.0,23.601973056793213,0.8610618163381996,11.011020669286445,13213224803.143728,462963266.6679926
92.0,25.40419363975525,0.9268115451796506,11.851810040660496,14222172048.792593,456371960.53599405
94.0,26.862730026245117,0.9800227740512488,12.53226053773976,15038712645.287704,428930091.60465527
96.0,28.46887969970703,1.038619322391264,13.281577012676017,15937892415.211214,435979918.4478383
98.0,29.977786779403687,1.0936682061266518,13.985526932565882,16782632319.079058,471577923.49087286
100.0,31.838282585144043,1.1615439677812183,14.853503424312265,17824204109.174706,477950163.43635416
102.0,33.39271903038025,1.218253882062395,15.578694144020403,18694432972.824474,449098362.5051813
104.0,35.047070026397705,1.2786089409409023,16.350497965996198,19620597559.19543,352118145.47522545
106.0,35.90858721733093,1.3100393453162704,16.752421295604485,20102905554.725376,536043512.9085293
108.0,38.877076625823975,1.4183376166390587,18.1373096756913,21764771610.829548,691830037.2387028
110.0,40.85168147087097,1.4903763750231587,19.058521419733495,22870225703.680187,558799701.2645502
112.0,42.869675159454346,1.5639980721020184,19.99997534657313,23999970415.88775,494226163.7717447
114.0,44.38290500640869,1.6192046617129936,20.705941965639305,24847130358.767166,471792384.7826843
116.0,46.24061036109924,1.686978620402038,21.57261662918208,25887139955.018486,477614506.65491104
118.0,47.79543900489807,1.7437028431143737,22.297990321155687,26757588385.38681,448362847.36684036
120.0,49.44414258003235,1.8038518692823278,23.067159453738213,27680591344.485847,460405781.56010914
122.0,51.08501744270325,1.8637152835077089,23.83267625968937,28599211511.627247,445129176.85094833
