index,Mean Intensity (A.U.),Time (s),Time (min),Time (h),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Protein Mass (ug),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
1,0.7159326076507570,180,3.0,0.05,0.026119097332927100,0.32648871666159000,0.05223819466585410,391786459.9939060,-47158926.61925360
2,0.44147729873657200,360,6.0,0.1,0.01610624856690900,0.2013281070863680,0.03221249713381800,241593728.50363500,-31708610.829509300
3,0.5429978370666500,540,9.0,0.15,0.019809983797848500,0.2476247974731120,0.03961996759569700,297149756.9677270,-15623941.362239900
4,0.2746100425720220,720,12.0,0.2,0.01001849385527190,0.12523117319090100,0.02003698771054370,150277407.82907800,-4128874.880614370
5,0.7028238773345950,900,15.0,0.25,0.025640856504977700,0.32051070631222300,0.05128171300995540,384612847.5746660,-383173.42992865800
6,0.7917027473449710,1080,18.0,0.3,0.02888339055334170,0.3610423819167710,0.05776678110668330,433250858.3001250,-4017958.4419659700
7,0.7230963706970220,1260,21.0,0.35,0.026380450178538500,0.32975562723173000,0.052760900357077000,395706752.67807800,-11259657.723731300
8,0.46312475204467800,1440,24.0,0.4,0.016896004381802900,0.21120005477253700,0.033792008763605900,253440065.72704400,-17272943.54554660
9,0.3235316276550290,1620,27.0,0.45,0.011803281457916500,0.14754101822396500,0.023606562915833100,177049221.86874800,-19057364.7522434
10,0.14544057846069300,1800,30.0,0.5,0.005306053369237510,0.06632566711547130,0.010612106738475000,79590800.5385626,-16565096.226947400
11,0.10118961334228500,1980,33.0,0.55,0.003691662220332680,0.046145777754159000,0.007383324440665360,55374933.30499020,-11681764.324295400
12,0.015449762344360400,2160,36.0,0.6,0.0005636478100461420,0.007045597625584320,0.0011272956200922800,8454717.150692130,-6446364.001262480
13,0.1599433422088620,2340,39.0,0.65,0.005835152189275660,0.0729394023659502,0.011670304378551300,87527282.83913490,-1788708.8603410100
14,0.0,2520,42.0,0.7,0.0,0.0,0.0,0.0,2705417.884504810
15,0.11618351936340300,2700,45.0,0.75,0.00423867919732368,0.05298348996654310,0.00847735839464736,63580187.9598552,8042775.048021240
16,0.07564187049865720,2880,48.0,0.8,0.0027596136240841700,0.03449517030104940,0.005519227248168340,41394204.361262500,14558456.98904350
17,0.15308761596679700,3060,51.0,0.85,0.005585037333364800,0.06981296666706530,0.01117007466672960,83775560.00047190,20891313.71259150
18,0.31796884536743200,3240,54.0,0.9,0.011600336585091000,0.14500420731364400,0.02320067317018190,174005048.77636400,24127403.900860700
19,0.6247110366821290,3420,57.0,0.95,0.022791095415525500,0.28488869269407100,0.04558219083105100,341866431.23288200,21697789.04081420
20,0.9392726421356200,3600,60.0,1.0,0.034267126961290200,0.4283390870161340,0.06853425392258040,514006904.41935300,13958843.925403200
21,0.9625453948974610,3780,63.0,1.05,0.03511617795868240,0.4389522244835360,0.07023235591736480,526742669.38023600,4811895.376671300
22,0.617973804473877,3960,66.0,1.1,0.022545303532433000,0.28181629415541600,0.045090607064866000,338179552.9864950,-910817.2709704130
23,0.5989885330200200,4140,69.0,1.15,0.021852671086730600,0.273158388584136,0.043705342173461200,327790066.30095900,-965625.1819048520
24,0.6026515960693360,4320,72.0,1.2,0.02198630922431380,0.274828865303931,0.04397261844862750,329794638.3647070,3312363.51181546
25,0.6520180702209470,4500,75.0,1.25,0.023787327545829600,0.29734159432286900,0.047574655091659100,356809913.1874440,8955731.018842400
26,0.7712934017181400,4680,78.0,1.3,0.028138804150610800,0.35173505188263500,0.05627760830122150,422082062.2591610,13806357.635681700
27,0.8765177726745610,4860,81.0,1.35,0.031977664900123300,0.399720811251548,0.06395532980024670,479664973.5018500,17506263.55000720
28,0.980809211730957,5040,84.0,1.4,0.03578248984956020,0.44728112311950600,0.07156497969912050,536737347.74340300,20918608.922629900
29,1.0566625595092800,5220,87.0,1.45,0.03854981871889550,0.4818727339861940,0.07709963743779100,578247280.7834330,24746609.035959200
30,1.1107628345489500,5400,90.0,1.5,0.04052353849977840,0.5065442312472330,0.08104707699955680,607853077.4966760,28422335.249046900
31,1.4240117073059100,5580,93.0,1.55,0.05195167811729910,0.6493959764662450,0.10390335623459800,779275171.759486,30312044.4630877
32,1.6855099201202400,5760,96.0,1.6,0.061491818068873700,0.7686477258609300,0.12298363613774700,922377271.0331060,29158694.576589200
33,1.8260409832000700,5940,99.0,1.65,0.06661875945365910,0.8327344931707440,0.13323751890731800,999281391.804887,25266235.265675200
34,1.9386944770813000,6120,102.0,1.7,0.07072865407241840,0.8841081759052370,0.1414573081448370,1060929811.0862800,20256653.82828680
35,2.0104668140411400,6300,105.0,1.75,0.07334709697449120,0.9168387121811430,0.1466941939489820,1100206454.6173700,15931702.727856800
36,2.0573389530181900,6480,108.0,1.8,0.07505711541346290,0.9382139426682910,0.15011423082692600,1125856731.201940,13451611.210803900
37,2.105515480041500,6660,111.0,1.85,0.07681472134597330,0.9601840168246700,0.15362944269194700,1152220820.1896,13214080.656946300
38,2.1311309337616000,6840,114.0,1.9,0.07774924021240360,0.9718655026550490,0.15549848042480700,1166238603.186050,15007027.003481100
39,2.253732681274410,7020,117.0,1.95,0.08222207318893470,1.0277759148616900,0.16444414637786900,1233331097.8340200,18032916.652619100
40,2.3003203868866000,7200,120.0,2.0,0.08392171475351610,1.049021434418950,0.16784342950703200,1258825721.302740,20906585.002739200
41,2.452223539352420,7380,123.0,2.05,0.08946353975496720,1.1182942469370900,0.17892707950993400,1341953096.3245100,22113602.37322790
42,2.7696197032928500,7560,126.0,2.1,0.1010429834211260,1.2630372927640700,0.202085966842251,1515644751.3168800,21174673.55248330
43,2.7986536026001000,7740,129.0,2.15,0.10210221613920100,1.276277701740010,0.20420443227840100,1531533242.08801,19777884.83922830
44,2.843189239501950,7920,132.0,2.2,0.10372699286063100,1.296587410757890,0.20745398572126100,1555904892.9094600,21754653.1918109
45,2.8966991901397700,8100,135.0,2.25,0.10567917606063200,1.3209897007579000,0.2113583521212640,1585187640.9094800,31339394.191175400
46,2.8948590755462600,8280,138.0,2.3,0.10561204385900100,1.3201505482375100,0.21122408771800100,1584180657.8850100,49665985.38457070
47,3.0357954502105700,8460,141.0,2.35,0.11075377207233900,1.3844221509042400,0.22150754414467800,1661306581.0850800,70848544.65146590
48,3.207879066467290,8640,144.0,2.4,0.11703183326745600,1.4628979158432000,0.2340636665349130,1755477499.0118400,81989899.76879300
49,5.218760013580320,8820,147.0,2.45,0.19039403890147500,2.379925486268440,0.38078807780295000,2855910583.522120,71025582.61319400
50,5.495315074920650,9000,150.0,2.5,0.20048349213753300,2.506043651719160,0.4009669842750660,3007252382.063000,38039814.69906980
51,6.0663743019104,9180,153.0,2.55,0.22131722896306300,2.766465362038290,0.4426344579261260,3319758434.445950,-1601769.3223029200
52,4.522542715072630,9360,156.0,2.6,0.16499420770191500,2.0624275962739400,0.3299884154038300,2474913115.5287200,-27789562.123314700
53,4.121485471725460,9540,159.0,2.65,0.15036258865968000,1.8795323582460000,0.3007251773193590,2255438829.8951900,-30666895.783580100
54,3.7975034713745100,9720,162.0,2.7,0.13854287642580000,1.7317859553225000,0.2770857528515990,2078143146.3869900,-15909418.683714900
55,4.240630149841310,9900,165.0,2.75,0.15470929868678600,1.9338662335848300,0.3094185973735720,2320639480.3017900,3158512.096106290
56,4.463797569274900,10080,168.0,2.8,0.16285103086581200,2.0356378858226600,0.32570206173162400,2442765462.9871800,17069474.6724581
57,4.6225621700286900,10260,171.0,2.85,0.16864317947840000,2.1080397434800100,0.3372863589568010,2529647692.176010,24822820.269245400
58,4.589382171630860,10440,174.0,2.9,0.16743268620236100,2.09290857752951,0.33486537240472100,2511490293.035410,30092867.84005730
59,4.748772144317630,10620,177.0,2.95,0.17324765002159300,2.165595625269920,0.34649530004318700,2598714750.3239,34899563.96058850
60,4.98588228225708,10800,180.0,3.0,0.181898049102851,2.27372561378564,0.363796098205702,2728470736.542770,37067946.12328980
61,5.022149324417110,10980,183.0,3.05,0.18322116582366000,2.2902645727957500,0.36644233164732000,2748317487.354900,33443135.55734680
62,6.576004266738890,11160,186.0,3.1,0.23990986535493000,2.9988733169366300,0.4798197307098600,3598647980.3239500,25004536.21506750
63,5.15726375579834,11340,189.0,3.15,0.1881504942920330,2.3518811786504100,0.3763009885840660,2822257414.380490,17248272.64744910
64,5.462834119796750,11520,192.0,3.2,0.19929850179168000,2.4912312723960000,0.3985970035833600,2989477526.8752000,14788598.465481100
65,5.691056489944460,11700,195.0,3.25,0.20762465181716800,2.595308147714610,0.41524930363433700,3114369777.257520,17218178.657291800
66,5.882841110229490,11880,198.0,3.3,0.2146214572575860,2.682768215719840,0.4292429145151720,3219321858.863790,21078763.31783670
67,5.828350067138670,12060,201.0,3.35,0.21263348123435100,2.657918515429380,0.42526696246870200,3189502218.515260,24101148.880693800
68,6.151540994644170,12240,204.0,3.4,0.22442433305814900,2.805304163226860,0.44884866611629700,3366364995.8722300,26748029.64954740
69,6.242392063140870,12420,207.0,3.45,0.22773881807462500,2.8467352259328200,0.45547763614925100,3416082271.1193800,31486110.124203700
70,6.263083219528200,12600,210.0,3.5,0.22849368567226800,2.856171070903350,0.45698737134453600,3427405285.084020,41634704.27232420
71,6.624567031860350,12780,213.0,3.55,0.24168156226523800,3.021019528315480,0.4833631245304760,3625223433.978570,59192671.620469
72,6.536174297332760,12960,216.0,3.6,0.23845676371300300,2.9807095464125400,0.47691352742600700,3576851455.6950500,81433247.73617230
73,6.863941192626950,13140,219.0,3.65,0.2504145588311670,3.130181985389590,0.5008291176623340,3756218382.467500,99771681.19455620
74,8.599911212921140,13320,222.0,3.7,0.31374729356424600,3.9218411695530800,0.6274945871284930,4706209403.4637000,104392766.06613100
75,9.301130294799810,13500,225.0,3.75,0.3393296029262880,4.241620036578600,0.6786592058525760,5089944043.894320,91093508.76384470
76,9.438318729400640,13680,228.0,3.8,0.3443345964661810,4.304182455827260,0.6886691929323620,5165018946.992710,62781089.85028690
77,9.688424348831180,13860,231.0,3.85,0.3534591047615270,4.418238809519100,0.7069182095230550,5301886571.422910,25759378.358380900
78,10.14220404624940,14040,234.0,3.9,0.3700141770656990,4.625177213321250,0.7400283541313990,5550212655.985490,-11834401.222966600
79,10.282044172287000,14220,237.0,3.95,0.3751159112568680,4.688948890710860,0.7502318225137370,5626738668.8530200,-38988730.57830290
80,8.439802646636960,14400,240.0,4.0,0.30790611356780200,3.8488264195975300,0.6158122271356040,4618591703.517030,-45747783.77969110
81,8.051904916763310,14580,243.0,4.05,0.2937545880561530,3.671932350701910,0.587509176112305,4406318820.842290,-31824980.40033420
82,8.206204414367680,14760,246.0,4.1,0.29938383800689100,3.7422979750861400,0.5987676760137820,4490757570.103370,-8606469.27201082
83,8.782623767852780,14940,249.0,4.15,0.3204131262909700,4.00516407863714,0.6408262525819410,4806196894.364560,10161900.201023000
84,8.98201036453247,15120,252.0,4.2,0.32768727174810600,4.096090896851330,0.6553745434962120,4915309076.221590,18798914.61134770
85,8.948405981063840,15300,255.0,4.25,0.32646129579275700,4.080766197409460,0.6529225915855140,4896919436.891360,20584744.713576200
86,8.837677717208860,15480,258.0,4.3,0.32242163860962500,4.03027048262032,0.6448432772192510,4836324579.144380,21121549.662962800
