Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.0,0.0,0.0,0.0,2403459.97126609
2.0,0.010738372802734375,0.00039176397531637264,0.004005766618778495,4806919.94253218,9054704.592458498
4.0,0.08091068267822266,0.0029518336971414705,0.030182348641528023,36218818.36983399,137719563.74185145
6.0,1.2413675785064697,0.045288341755159944,0.4630709790916221,555685174.909938,45954752.313833654
8.0,0.49155139923095703,0.01793308295145124,0.18336485635430577,220037827.6251686,-56880356.25337458
10.0,0.7330982685089111,0.026745345616559835,0.2734697915803679,328163749.8964397,28848350.092056774
12.0,0.749333381652832,0.027337645081461748,0.2795260233278327,335431227.9933957,29577392.501635626
14.0,0.9973948001861572,0.036387575572093045,0.37206109991915426,446473319.9029822,40156645.26569852
16.0,1.108163595199585,0.04042871143807947,0.41338150754683056,496057809.0561898,19534942.7034
18.0,1.1719543933868408,0.04275596689340144,0.4371775755971541,524613090.7165822,30200483.095652103
20.0,1.3780279159545898,0.05027406892726205,0.514049784532336,616859741.4387982,54926691.222112715
22.0,1.6627662181854248,0.060662068231810196,0.620266546337529,744319855.605033,43833901.667784005
24.0,1.7697172164916992,0.06456392087095963,0.6601627900916149,792195348.1099342,48943922.24612507
26.0,2.1001174449920654,0.07661778688404697,0.783412953824616,940095544.5895333,55816515.71191925
28.0,2.2684803009033203,0.08276010499304531,0.8462178424646787,1015461410.9576112,32706026.080351174
30.0,2.3923707008361816,0.08727995138624145,0.8924330407591157,1070919648.910938,49875903.33844718
32.0,2.7141594886779785,0.09901964948137909,1.0124708535928377,1214965024.3114,58811368.78113288
34.0,2.9178950786590576,0.10645245760889077,1.088470936696229,1306165124.0354695,60148266.70875573
36.0,3.2516300678253174,0.11862798442843348,1.2129650759553563,1455558091.1464229,76610126.49574214
38.0,3.6024649143218994,0.1314273588465027,1.3438380250153656,1612605630.018438,33573598.287563086
40.0,3.5516357421875,0.12957297747017904,1.3248770702472292,1589852484.2966752,35090915.80139482
42.0,3.9160289764404297,0.14286699739775743,1.4608077443533496,1752969293.2240174,53676000.8784951
44.0,4.031271696090698,0.14707135375656843,1.5037970731755514,1804556487.8106556,68073521.21191943
46.0,4.524317741394043,0.16505896531284314,1.6877194817264147,2025263378.071695,76821122.95947176
48.0,4.717726945877075,0.17211503984135623,1.7598674830404555,2111840979.6485426,64471853.19902867
50.0,5.1004228591918945,0.18607678945572648,1.9026256590565112,2283150790.86781,57813938.22933644
52.0,5.2343385219573975,0.1909623837041199,1.9525806104715748,2343096732.5658884,84593252.94248784
54.0,5.856328010559082,0.21365418991497753,2.184603168864804,2621523802.637761,125310581.02164257
56.0,6.354084014892578,0.2318136331171754,2.370282547210387,2844339056.6524587,136725895.26660848
58.0,7.078078031539917,0.2582268317718919,2.6403561530868345,3168427383.704195,138722570.70499432
60.0,7.593675851821899,0.27703719116700354,2.832691116227032,3399229339.472436,116558043.21620202
62.0,8.1196129322052,0.2962247538603737,3.0288829638075043,3634659556.569003,135229896.1865815
64.0,8.802057981491089,0.3211221373238291,3.2834574368489733,3940148924.218762,149911413.27771282
66.0,9.459185600280762,0.3450958745889081,3.528587674733213,4234305209.6798544,136737421.6288153
68.0,10.023910999298096,0.3656985367748229,3.7392488422783536,4487098610.734023,133036765.64419508
70.0,10.64797043800354,0.3884658601889157,3.9720435602138657,4766452272.256635,189796602.04088497
72.0,11.71988821029663,0.42757222904015135,4.371904182414642,5246285018.897563,104699204.15882015
74.0,11.583537578582764,0.4225978007446911,4.321040907409934,5185249088.891915,65729427.34229779
76.0,12.307230710983276,0.4490000223537405,4.591002273555635,5509202728.266754,151863637.5136974
78.0,12.940554857254028,0.4721053465741565,4.827253032455587,5792703638.946705,166277193.3649149
80.0,13.793044090270996,0.5032063873907027,5.145259584772013,6174311501.726414,216500835.31132793
82.0,14.875154733657837,0.5426846188856493,5.548922483493353,6658706980.192017,260541464.41980314
84.0,16.121180534362793,0.5881429047915585,6.013731132838025,7216477359.405626,279992867.67859626
86.0,17.37710428237915,0.6339622937488718,6.482232042422009,7778678450.906402,309298003.23588514
88.0,18.8849937915802,0.688974053846457,7.0447244769576365,8453669372.349167,293325453.53341365
90.0,19.9981906414032,0.7295863916007645,7.459983554200047,8951980265.040056,307282490.7333369
92.0,21.630796909332275,0.789148145825525,8.068999446068762,9682799335.282515,339091941.9312005
94.0,23.02823543548584,0.840130364670336,8.590290027304054,10308348032.764858,337940906.5941639
96.0,24.650556325912476,0.8993168813752224,9.195469134715982,11034562961.65917,344141822.64747286
98.0,26.103404760360718,0.952320598853412,9.73742943612896,11684915323.35475,373433884.32170105
100.0,27.987472534179688,1.021056327664097,10.440248749121647,12528298498.945974,390304129.5252085
102.0,29.59106945991516,1.07955974507863,11.038443201212988,13246131841.455584,370965481.8374467
104.0,31.302331686019897,1.1419910747431046,11.676800355246474,14012160426.295761,330580283.75076723
106.0,32.545056104660034,1.1873289175813801,12.140377480382217,14568452976.458652,434499830.8955951
108.0,35.18491864204407,1.2836380196150685,13.12513312489845,15750159749.878141,549412085.6858697
110.0,37.454471588134766,1.3664372575149737,13.971751099335119,16766101319.202131,493184249.6040902
112.0,39.59189558029175,1.4444160849860022,14.769080623578763,17722896748.294502,455664926.7280421
114.0,41.52618479728699,1.5149840236283154,15.490634188428583,18588761026.1143,422975763.28869724
116.0,43.371506214141846,1.5823061838181172,16.178999834541084,19414799801.44929,419903720.9466505
118.0,45.27834439277649,1.6518726366569236,16.89031325825076,20268375909.9009,401020017.7079325
120.0,46.954925537109375,1.7130387095909034,17.51573322690086,21018879872.28102,363992192.7907047
122.0,48.53089189529419,1.7705340915066934,18.103620567553104,21724344681.06372,359687683.4971428
124.0,50.16900897026062,1.8302968944109717,18.714692171891326,22457630606.269592,364332700.740901
126.0,51.786482095718384,1.889306551948227,19.31806290335611,23181675484.027325,333674178.15449715
128.0,53.15064191818237,1.939074676489338,19.826939432406324,23792327318.88758,337089476.6303177
130.0,54.798633337020874,1.9991977213297103,20.441694492123826,24530033390.548595,368966004.8526907
132.0,56.44763422012329,2.059357594071315,21.056826115248622,25268191338.298344,352050801.5002985
134.0,57.944475412368774,2.113966282618808,21.615197163791496,25938236596.54979,328758318.0802746
136.0,59.385340213775635,2.1665328057654847,22.152687175516203,26583224610.619442,352682590.22875786
138.0,61.09596300125122,2.228940807033383,22.790805797887348,27348966957.46482,351807920.7707424
140.0,62.529011964797974,2.2812221879367467,23.325380244752015,27990456293.70241,351005584.5718508
142.0,64.2324652671814,2.343368627603806,23.960824413126854,28752989295.752224,365772828.98189545
144.0,65.79747080802917,2.4004641301848446,24.544623008025003,29453547609.629993,357047079.29603004
146.0,67.42295289039612,2.459765975454312,25.150981344113628,30181177612.936344,350834530.15493774
148.0,68.93244457244873,2.514836187015354,25.714071441874797,30856885730.249744,359286128.5174818
150.0,70.63344812393188,2.5768932533510114,26.348601772505237,31618322127.00627,365706205.5410862
