index,Mean Intensity (A.U.),Time (s),Time (min),Time (h),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Protein Mass (ug),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
1,0.3000962734222410,180,3.0,0.05,0.01094829833283400,0.13685372916042500,0.0218965966656679,164224474.99250900,-28669159.89003490
2,0.0,360,6.0,0.1,0.0,0.0,0.0,0.0,-17354272.516554300
3,0.09335875511169430,540,9.0,0.15,0.003405971994549170,0.04257464993186130,0.006811943989098350,51089579.91823760,-4804488.730783240
4,0.06473898887634280,720,12.0,0.2,0.002361847936001920,0.02952309920001640,0.00472369587200383,35427719.04002870,5225314.0717599100
5,0.27349400520324700,900,15.0,0.25,0.009977777887943520,0.12472222359928900,0.019955555775887000,149666668.31915300,10516416.133889000
6,0.5211026668548580,1080,18.0,0.3,0.01901119062126760,0.23763988276583700,0.0380223812425351,285167859.31901300,11733820.440872600
7,0.392963171005249,1260,21.0,0.35,0.014336326076027200,0.17920407595033800,0.02867265215205440,215044891.14040800,11973957.01460300
8,0.45076918601989700,1440,24.0,0.4,0.01644524096055870,0.20556551200697700,0.03289048192111730,246678614.40838000,14519260.838893000
9,0.3494455814361570,1620,27.0,0.45,0.012748690388669100,0.15935862985836000,0.025497380777338200,191230355.83003700,20620368.237223400
10,0.6288278102874760,1800,30.0,0.5,0.022941286102954100,0.2867660762869240,0.04588257220590820,344119291.5443110,29161408.14060210
11,0.7804825305938720,1980,33.0,0.55,0.028474047648315600,0.3559255956039420,0.05694809529663130,427110714.72473400,38082051.01747370
12,0.9932377338409420,2160,36.0,0.6,0.03623591489994340,0.45294893624928500,0.07247182979988680,543538723.4991510,45985239.9329769
13,1.438800573349000,2340,39.0,0.65,0.05249121469866890,0.6561401837333530,0.10498242939733800,787368220.4800340,52834187.90147040
14,1.5812077522277800,2520,42.0,0.7,0.057686601703386600,0.7210825212923280,0.11537320340677300,865299025.5507990,59613165.7415594
15,1.9741973876953100,2700,45.0,0.75,0.07202389327233720,0.9002986659042060,0.14404778654467400,1080358399.0850600,67338603.94335370
16,2.243594169616700,2880,48.0,0.8,0.08185219371987660,1.0231524214984600,0.16370438743975300,1227782905.798150,76134936.00287980
17,2.864215850830080,3060,51.0,0.85,0.10449409873343400,1.3061762341679100,0.20898819746686800,1567411481.0015100,84914352.89076570
18,3.203559637069700,3240,54.0,0.9,0.1168742491657500,1.4609281145718800,0.2337484983315010,1753113737.4862600,91659029.03804180
19,3.7716588973999000,3420,57.0,0.95,0.13759999865217000,1.719999983152110,0.2751999973043390,2063999979.7825400,94452581.5678299
20,4.6757636070251500,3600,60.0,1.0,0.17058410729243300,2.1323013411554000,0.3411682145848650,2558761609.3864900,93262114.37359760
21,5.047461748123170,3780,63.0,1.05,0.18414462936121300,2.3018078670151500,0.36828925872242600,2762169440.418190,90851931.87917520
22,5.250023603439330,3960,66.0,1.1,0.19153461657286100,2.394182707160760,0.38306923314572200,2873019248.5929200,91006512.5465934
23,5.784300088882450,4140,69.0,1.15,0.2110264226127820,2.6378302826597600,0.4220528452255630,3165396339.191720,95426805.86127530
24,6.307080268859860,4320,72.0,1.2,0.23009881330799100,2.876235166349880,0.4601976266159810,3451482199.6198600,102773325.57306500
25,6.954911470413210,4500,75.0,1.25,0.2537333929148650,3.1716674114358100,0.5074667858297300,3806000893.7229800,110702286.29601700
26,7.645803928375240,4680,78.0,1.3,0.27893895997977300,3.4867369997471700,0.5578779199595460,4184084399.696600,118270886.03020200
27,8.30535101890564,4860,81.0,1.35,0.3030009659131810,3.7875120739147500,0.606001931826361,4545014488.697710,126200977.66682500
28,8.775125980377200,5040,84.0,1.4,0.3201395873590040,4.001744841987550,0.6402791747180090,4802093810.385060,135151364.1385570
29,9.758628606796270,5220,87.0,1.45,0.3560203400333680,4.450254250417090,0.7120406800667350,5340305100.500520,144171122.35975200
30,10.454688310623200,5400,90.0,1.5,0.38141442176606100,4.767680272075750,0.7628288435321210,5721216326.490910,151073522.890755
31,11.549941539764400,5580,93.0,1.55,0.4213721292240470,5.267151615300580,0.8427442584480950,6320581938.36071,154339123.34063100
32,12.389700889587400,5760,96.0,1.6,0.4520087505482740,5.650109381853430,0.9040175010965490,6780131258.224120,154594594.17027000
33,13.202585458755500,5940,99.0,1.65,0.48166490945994200,6.020811368249270,0.9633298189198850,7224973641.899140,154150431.01934100
34,13.944984197616600,6120,102.0,1.7,0.5087495606029930,6.3593695075374000,1.0174991212059900,7631243409.044890,155042549.74981200
35,14.697018384933500,6300,105.0,1.75,0.5361857381514260,6.702321726892810,1.072371476302850,8042786072.271380,157591855.9659330
36,15.836640357971200,6480,108.0,1.8,0.5777621336367320,7.222026670459140,1.1555242672734600,8666432004.550980,160820834.42995100
37,16.534942150116000,6660,111.0,1.85,0.6032380126257280,7.540475157821590,1.2064760252514600,9048570189.385920,163832165.35754400
38,17.488845586776700,6840,114.0,1.9,0.6380389093052520,7.975486366315640,1.2760778186105000,9570583639.578780,166486220.26741700
39,18.47922396659850,7020,117.0,1.95,0.6741705074788200,8.427131343485240,1.3483410149576400,10112557612.182300,169088085.02141500
40,19.32412886619570,7200,120.0,2.0,0.7049948519405970,8.812435649257450,1.4099897038811900,10574922779.109000,171826369.50146600
41,20.263179540634200,7380,123.0,2.05,0.7392538809387200,9.240673511734000,1.4785077618774400,11088808214.080800,174462786.6375910
42,21.27432894706730,7560,126.0,2.1,0.776143260584969,9.70179075731211,1.552286521169940,11642148908.774500,176674528.41375700
43,22.324286937713600,7740,129.0,2.15,0.8144484790651900,10.180605988314900,1.6288969581303800,12216727185.977900,179132020.98166600
44,23.258074283599900,7920,132.0,2.2,0.8485154880473480,10.606443600591800,1.6970309760947000,12727732320.710200,184357717.46086800
45,24.144497871398900,8100,135.0,2.25,0.8808545430373130,11.010681787966400,1.7617090860746300,13212818145.55970,195907297.60633000
46,25.112878799438500,8280,138.0,2.3,0.916183616534624,11.452295206682800,1.832367233069250,13742754248.01940,215151464.82827900
47,26.326542139053300,8460,141.0,2.35,0.9604612350674980,12.005765438343700,1.9209224701350000,14406918526.012500,236955246.54235200
48,27.058568954467800,8640,144.0,2.4,0.9871674912678710,12.339593640848400,1.9743349825357400,14807512369.018100,248781849.75391000
49,30.067853689193700,8820,147.0,2.45,1.0969540829789500,13.711926037236800,2.1939081659578900,16454311244.684200,238193085.51300200
50,31.62102198600770,9000,150.0,2.5,1.1536177318830200,14.42022164853770,2.3072354637660400,17304265978.245300,205292470.8743310
51,32.93903660774230,9180,153.0,2.55,1.201702358597080,15.021279482463400,2.403404717194150,18025535378.956100,166711477.3066020
52,31.892119646072400,9360,156.0,2.6,1.1635080848216800,14.543851060270900,2.3270161696433500,17452621272.32510,143634236.47175600
53,32.677231311798100,9540,159.0,2.65,1.1921510154483400,14.901887693104200,2.384302030896680,17882265231.72510,145152692.394171
54,33.715351581573500,9720,162.0,2.7,1.230024362855330,15.375304535691600,2.460048725710650,18450365442.829900,164076898.5520220
55,34.716312646865800,9900,165.0,2.75,1.2665420451224200,15.831775564030200,2.533084090244840,18998130676.836300,186822435.7413140
56,35.99131107330320,10080,168.0,2.8,1.3130573283258500,16.413216604073100,2.626114656651700,19695859924.88780,204663634.87526800
57,37.3535692691803,10260,171.0,2.85,1.362756076546650,17.034450956833100,2.72551215309329,20441341148.199700,216931147.45235400
58,38.3117036819458,10440,174.0,2.9,1.397711330320000,17.471391628999900,2.795422660639990,20965669954.799900,227053392.18492800
59,39.508649826049800,10620,177.0,2.95,1.4413790617601200,18.017238272001600,2.882758123520250,21620685926.401900,236726465.35546700
60,40.91127848625180,10800,180.0,3.0,1.4925506302936300,18.656882878670300,2.9851012605872500,22388259454.404400,243279946.91682800
61,42.100345849990800,10980,183.0,3.05,1.53593092318295,19.199136539786900,3.0718618463659,23038963847.74430,242821551.4525620
62,44.87510681152340,11160,186.0,3.1,1.6371614731752100,20.464518414690100,3.274322946350410,24557422097.628100,236044769.5948480
63,44.61576771736150,11340,189.0,3.15,1.6277001035291500,20.346251294114300,3.2554002070583000,24415501552.937200,229412122.43858500
64,46.09058117866520,11520,192.0,3.2,1.6815051627373100,21.01881453421640,3.363010325474620,25222577441.05960,229496499.33202800
65,47.39221453666690,11700,195.0,3.25,1.7289921580300500,21.61240197537560,3.4579843160601000,25934882370.450800,237250774.10174600
66,48.60140371322630,11880,198.0,3.3,1.7731065473719700,22.16383184214960,3.5462130947439300,26596598210.579500,248433987.18595400
67,50.0490505695343,12060,201.0,3.35,1.825920497651010,22.824006220637600,3.651840995302020,27388807464.765200,258398904.91385300
68,51.90262985229490,12240,204.0,3.4,1.8935439264253800,23.669299080317300,3.7870878528507700,28403158896.380800,266125764.70723100
69,53.038984060287500,12420,207.0,3.45,1.935001105280010,24.187513816000200,3.870002210560030,29025016579.200200,274962982.820143
70,54.457653284072900,12600,210.0,3.5,1.9867578756007100,24.834473445008900,3.9735157512014200,29801368134.010700,290050783.6987620
71,56.11512613296510,12780,213.0,3.55,2.047226827851620,25.59033534814520,4.094453655703230,30708402417.77430,313637614.89574800
72,57.491642475128200,12960,216.0,3.6,2.09744575060651,26.21807188258140,4.19489150121302,31461686259.09770,340900756.5691040
73,59.25466299057010,13140,219.0,3.65,2.1617653582772300,27.022066978465400,4.323530716554470,32426480374.15850,360376791.6862650
74,62.75519347190860,13320,222.0,3.7,2.2894738819314000,28.61842352414250,4.5789477638628000,34342108228.971000,360973972.5243730
75,64.75748181343080,13500,225.0,3.75,2.362522606800090,29.531532585001200,4.725045213600180,35437839102.00140,339900105.56571100
76,66.08251690864560,13680,228.0,3.8,2.4108633587809600,30.135791984762000,4.821726717561920,36162950381.71440,303100810.2638590
77,67.68216896057130,13860,231.0,3.85,2.4692228568630000,30.865285710787500,4.938445713726000,37038342852.94500,259901272.62372300
78,69.38421630859380,14040,234.0,3.9,2.531318003631250,31.64147504539060,5.062636007262490,37969770054.4687,220790279.40815200
79,70.8656268119812,14220,237.0,3.95,2.5853637402194500,32.31704675274310,5.170727480438900,38780456103.291700,197822544.45527800
80,69.56346487998960,14400,240.0,4.0,2.5378574611626500,31.723218264533100,5.075714922325290,38067861917.4397,199235035.71421600
81,71.26793432235720,14580,243.0,4.05,2.6000409722787000,32.50051215348380,5.200081944557410,39000614584.18060,221091830.41387500
82,72.9428608417511,14760,246.0,4.1,2.661146680159650,33.2643335019956,5.322293360319300,39917200202.39470,248887947.57587800
83,74.82268786430360,14940,249.0,4.15,2.7297276952529900,34.12159619066240,5.459455390505990,40945915428.794900,269859875.29701200
84,76.31226754188540,15120,252.0,4.2,2.784071464719750,34.800893308996900,5.568142929439510,41761071970.79630,281594342.336452
85,77.5064525604248,15300,255.0,4.25,2.827638463064900,35.34548078831120,5.655276926129800,42414576945.973500,288791923.3340210
86,79.2465398311615,15480,258.0,4.3,2.891121405881680,36.13901757352090,5.78224281176335,43366821088.22510,295542390.3792420
87,81.0369942188263,15660,261.0,4.35,2.956441873090230,36.955523413627800,5.91288374618045,44346628096.35340,302411864.53607900
88,82.5571722984314,15840,264.0,4.4,3.0119019524332800,37.64877440541590,6.023803904866550,45178529286.49910,308277813.9825080
89,84.41718792915340,16020,267.0,4.45,3.079760196045070,38.49700245056340,6.159520392090150,46196402940.676100,312104564.106338
90,85.95108532905580,16200,270.0,4.5,3.1357207921383800,39.19650990172980,6.271441584276760,47035811882.07570,313387104.16049800
91,88.02488851547240,16380,273.0,4.55,3.2113785659239500,40.142232074049300,6.4227571318478900,48170678488.859200,312840517.892798
92,89.67372250556950,16560,276.0,4.6,3.271532349971440,40.894154374643,6.543064699942880,49072985249.57160,313005324.1761570
93,91.06505537033080,16740,279.0,4.65,3.3222918182913000,41.528647728641200,6.644583636582600,49834377274.369500,316830490.6342360
94,92.80850982666020,16920,282.0,4.7,3.3858976048608200,42.32372006076020,6.771795209721630,50788464072.91220,324808839.28597300
95,94.63819551467900,17100,285.0,4.75,3.4526493326957100,43.15811665869630,6.9052986653914100,51789739990.435600,334094660.1899410
96,96.59250283241270,17280,288.0,4.8,3.523947584102130,44.04934480127660,7.047895168204260,52859213761.53190,341098580.7925310
97,98.80934596061710,17460,291.0,4.85,3.604823829741220,45.06029787176530,7.209647659482450,54072357446.118400,344792632.62165900
98,100.35410189628600,17640,294.0,4.9,3.6611805736696100,45.764757170870100,7.322361147339220,54917708605.04410,347350498.7668610
99,102.15058207511900,17820,297.0,4.95,3.7267208775280700,46.58401096910090,7.453441755056150,55900813162.92110,352199173.76386600
100,104.55885601043700,18000,300.0,5.0,3.814581020576070,47.68226275720090,7.629162041152140,57218715308.64110,361671367.46818600
101,105.84784817695600,18180,303.0,5.05,3.861606832082510,48.27008540103130,7.72321366416501,57924102481.23760,374903772.85835800
