Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.549454927444458,0.020045555372969925,0.221988431594351,266386117.9132216,-133193058.9566108
2.0,0.0,0.0,0.0,0.0,-60492259.639030315
4.0,0.05036330223083496,0.0018373852216218012,0.020347566130919148,24417079.35710035,88474389.32207538
6.0,0.7299582958221436,0.02663079118594469,0.2949146310735813,353897557.2883015,61217267.92820849
8.0,0.5554366111755371,0.02026378286801256,0.22440512589161088,269286151.0699343,-18583203.019435734
10.0,0.5766375064849854,0.021037247077094534,0.23297062100879984,279564745.2105586,39994542.323506355
12.0,0.8854117393493652,0.03230214010738797,0.3577202669699666,429264320.3639597,62015531.26992227
14.0,1.088296890258789,0.03970392198934114,0.4396890585752047,527626870.2902477,56250575.36629523
16.0,1.3495073318481445,0.049233563292642835,0.5452221848576144,654266621.8291407,55726635.58029026
18.0,1.548069715499878,0.05647763929900851,0.6254445105095066,750533412.6114087,48376509.69368985
20.0,1.7486379146575928,0.06379489271044347,0.706477217169919,847772660.6039001,27740373.56094852
22.0,1.7769417762756348,0.064827491740854,0.7179124223793387,861494906.8552028,20917423.975496024
24.0,1.9212172031402588,0.07009103732706778,0.7762019637549038,931442356.5058842,53445065.79019377
26.0,2.217890501022339,0.08091445654370233,0.8960626416799755,1075275170.0159779,39281584.2737391
28.0,2.245310068130493,0.08191479419346326,0.9071405780006998,1088568693.6008406,24595636.74156797
30.0,2.4208168983459473,0.0883177432029143,0.9780480974852068,1173657716.9822497,51817734.41800994
32.0,2.672832489013672,0.09751193225328425,1.0798663593940638,1295839631.2728803,40751366.71242386
34.0,2.7570362091064453,0.10058390458335387,1.113885986526622,1336663183.8319452,24339200.711508155
36.0,2.873643159866333,0.1048380316674482,1.1609970284324227,1393196434.118913,24963327.97961986
38.0,2.962996244430542,0.10809786630521945,1.1970970797920195,1436516495.7504246,6137588.606760263
40.0,2.924281358718872,0.10668544583808304,1.181455657121628,1417746788.545954,-26712982.28568399
42.0,2.742600679397583,0.10005725863722859,1.1080538055064082,1329664566.6076887,-11515694.25859338
44.0,2.829271078109741,0.10321922186624644,1.1430700095929858,1371684011.5115805,5141117.610079825
46.0,2.785017490386963,0.1016047350378626,1.1251908642066724,1350229037.048008,10297319.692516685
48.0,2.914229154586792,0.10631871509369395,1.1773944085680412,1412873290.2816472,32162031.193523645
50.0,3.050370454788208,0.11128550642711321,1.232397634851754,1478877161.8221025,34109112.92322409
52.0,3.1956465244293213,0.1165855580835844,1.2910914516454532,1549309741.9745436,52498038.34179294
54.0,3.4835057258605957,0.1270874159679929,1.4073910959910627,1688869315.1892743,80759722.02019554
56.0,3.861954927444458,0.14089423441166327,1.5602905250461063,1872348630.0553257,84757771.83615321
58.0,4.182800054550171,0.152599505290675,1.6899170021115744,2027900402.5338871,89805030.5071271
60.0,4.602891683578491,0.16792554859430853,1.8596406267365282,2231568752.083834,122863171.83048338
62.0,5.196483135223389,0.1895813200116505,2.0994609082131817,2519353089.8558207,124299577.70676982
64.0,5.62842583656311,0.20533972148404622,2.273972552425761,2728767062.9109135,86795764.96438694
66.0,5.912591934204102,0.21570684526593098,2.3887801247611407,2866536149.7133684,71869939.64480007
68.0,6.221389055252075,0.22697257331713105,2.5135390179084283,3016246821.4901137,79322131.34818816
70.0,6.567039489746094,0.2395828068017356,2.653187229255103,3183824675.106121,93936355.39302385
72.0,6.996411323547363,0.25524741629043124,2.8266602025518353,3391992243.062209,32507355.800149202
74.0,6.8352415561676025,0.24936752089758052,2.7615450819222644,3313854098.306718,-39424973.453495026
76.0,6.671135425567627,0.2433804992809292,2.695243624373525,3234292349.248229,-50682989.091394424
78.0,6.417081356048584,0.23411194118107082,2.5926017849509577,3111122141.94114,-10794182.561668396
80.0,6.582077980041504,0.24013145032986705,2.6592630158346324,3191115619.0015554,37159586.23910642
82.0,6.723666667938232,0.24529697663904182,2.7164670724146376,3259760486.897566,55417981.846116185
84.0,7.039304256439209,0.25681226286554804,2.8439896219883423,3412787546.38602,87751924.00908053
86.0,7.447664260864258,0.27171030576577504,3.0089734857782418,3610768182.933888,91502611.59635937
88.0,7.7942469120025635,0.28435454895605217,3.148998327309549,3778797992.7714577,89584889.68258369
90.0,8.186784744262695,0.2986753575602328,3.307589784720186,3969107741.6642227,112889734.83177996
92.0,8.7256441116333,0.31833435914041797,3.5252974434154822,4230356932.0985775,106016590.36417651
94.0,9.061475038528442,0.3305863512598499,3.660978419267444,4393174103.120929,94823738.49095917
96.0,9.50798773765564,0.34687630442619666,3.8413765717186834,4609651886.062414,93010047.42102122
98.0,9.82885479927063,0.3585823755335773,3.971011910670846,4765214292.805014,96165736.37646198
100.0,10.301403522491455,0.37582219107551174,4.161929026306886,4994314831.568262,114676146.70266771
102.0,10.774990797042847,0.3930998956910803,4.3532657330130675,5223918879.6156845,87169958.13017917
104.0,11.020599603652954,0.40206034847269567,4.452495553407481,5342994664.088979,-10089951.543801308
106.0,10.691743612289429,0.39006282027639605,4.3196325612004,5183559073.440479,62477110.3445375
108.0,11.536067247390747,0.4208659586864014,4.66075258788927,5592903105.467129,207598461.44538546
110.0,12.40453553199768,0.4525499571714571,5.011627432685017,6013952919.222021,210617349.84117985
112.0,13.27376651763916,0.4842617809885965,5.362810420693208,6435372504.831848,192996461.0247004
114.0,13.996853590011597,0.5106418919398918,5.654948969434017,6785938763.320823,149760722.17160964
116.0,14.509367942810059,0.529339758362251,5.862012827931906,7034415393.518287,139520214.87880898
118.0,15.147965669631958,0.5526374766184134,6.120016352363386,7344019622.836059,154275256.22976327
120.0,15.782216548919678,0.5757766104874098,6.376263682031116,7651516418.43734,141197192.0814712
122.0,16.31291365623474,0.5951378314349363,6.590673659301622,7908808391.161943,118780625.85136366
124.0,16.762216567993164,0.6115295788686703,6.772199101535662,8126638921.842794,120821913.28965211
126.0,17.309755325317383,0.6315052273351216,6.9934133702671275,8392096044.320552,109228253.6930933
128.0,17.66340470314026,0.6444072832302914,7.136293280512639,8563551936.615168,88236649.94644952
130.0,18.037752151489258,0.6580644589690028,7.287535536755286,8745042644.10635,104839423.57124043
132.0,18.528382778167725,0.6759639497252348,7.4857580257501155,8982909630.90013,96496670.04969168
134.0,18.833898305892944,0.68710995665396,7.609191103587598,9131029324.305117,75233285.7235241
136.0,19.14909529685974,0.6986091687280154,7.736535644828521,9283842773.794226,96661414.44989109
138.0,19.63140368461609,0.7162050424033772,7.931395818420569,9517674982.104681,103777066.37346363
140.0,20.005308389663696,0.7298460657064281,8.082459199406742,9698951039.28808,96683809.97877312
142.0,20.429093837738037,0.745306869206988,8.253675185016476,9904410222.019773,87382903.48802376
144.0,20.726261377334595,0.7561483196563232,8.373735544366816,10048482653.240175,89238149.10058308
146.0,21.165353536605835,0.7721675520862634,8.551135682018419,10261362818.422106,114465368.6540699
148.0,21.670658349990845,0.7906023956211983,8.755286773213712,10506344127.856455,87586312.68518162
150.0,21.88798475265503,0.7985310322045032,8.843090057635692,10611708069.162832,100144540.48631144
152.0,22.496901273727417,0.820745902307578,9.089101908168082,10906922289.8017,118817903.570405
154.0,22.868292331695557,0.834295221179195,9.239149736203707,11086979683.444452,94215620.41381407
156.0,23.274227619171143,0.8491048040521361,9.403153976214128,11283784771.456957,73912122.90424347
158.0,23.47810459136963,0.8565427701733723,9.485523479217854,11382628175.061426,70134791.86195993
160.0,23.852874994277954,0.870215376402586,9.636936615753996,11564323938.904797,90299119.22044277
162.0,24.22311782836914,0.8837228050587256,9.786520543286002,11743824651.943197,99254498.82236814
164.0,24.6717746257782,0.9000909805481188,9.967784945161888,11961341934.19427,97286726.51372385
166.0,25.025782346725464,0.9130061097393565,10.110809631665077,12132971557.998093,98682531.46345758
168.0,25.485955238342285,0.9297944225186194,10.296726716706743,12356072060.0481,101575715.92294931
170.0,25.86383318901062,0.9435804002321642,10.449395351408242,12539274421.68989,108850159.37065697
172.0,26.384023904800415,0.9625583204891872,10.659560581275606,12791472697.530727,90806789.73836899
174.0,26.613034963607788,0.9709132439434134,10.75208465053614,12902501580.643366,52831775.06831598
176.0,26.819912672042847,0.9784606847847503,10.835666498169992,13002799797.803991,79383393.95622444
178.0,27.267987966537476,0.994807645524237,11.01669596372355,13220035156.468264,95886066.79127789
180.0,27.611021041870117,1.007322390888925,11.155286720807588,13386344064.969103,80316348.34325027
182.0,27.930638313293457,1.0189828663755551,11.284417124867716,13541300549.841265,109033340.34818172
184.0,28.510601043701172,1.0401414263337276,11.518731188634852,13822477426.36183,106369226.02732849
186.0,28.80823802947998,1.051000003409781,11.638981211625484,13966777453.950579,112162385.8486166
188.0,29.435997247695923,1.0739023044741614,11.892605808130249,14271126969.756296,141600109.3191452
190.0,29.976510286331177,1.0936216363148437,12.110981576022631,14533177891.22716,119268992.86826801
192.0,30.420026540756226,1.10980227132751,12.290169117691143,14748202941.229368,94679020.02819777
194.0,30.757659912109375,1.1221200213433313,12.426578309449965,14911893971.33995,114674644.03492212
196.0,31.36615014076233,1.1443193391820214,12.672417931140878,15206901517.369057,129938685.18680906
198.0,31.82971954345703,1.1612315655845609,12.85970726007266,15431648712.087187,80807142.74651194
200.0,32.03284978866577,1.1686422891487216,12.941775073629252,15530130088.355104,81893253.65363169
202.0,32.505380153656006,1.1858814349343039,13.13268477225143,15759221726.701714,105352237.83644676
204.0,32.902058839797974,1.2003533127374921,13.292949199750751,15951539039.700891,83043054.55514479
206.0,33.19052720069885,1.2108773943554025,13.409494954101909,16091393944.922293,109883590.21435499
208.0,33.808653831481934,1.233428273392013,13.659227833798596,16391073400.558311,113951167.31094551
