index,Mean Intensity (A.U.),Time (s),Time (min),Time (h),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Protein Mass (ug),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
1,0.2897059917449950,180,3.0,0.05,0.010569233633804600,0.13211542042255800,0.02113846726760920,158538504.50706900,-40604556.65008940
2,0.14282870292663600,360,6.0,0.1,0.00521076530641329,0.06513456633016550,0.01042153061282660,78161479.59619930,-25816478.554912600
3,0.08424735069274900,540,9.0,0.15,0.0030735640886727600,0.038419551108411600,0.006147128177345530,46103461.33009150,-10662644.702128500
4,0.10175895690918000,720,12.0,0.2,0.003712433365382410,0.04640541706728390,0.007424866730764810,55686500.480736100,-191906.50575470900
5,0.33542394638061500,900,15.0,0.25,0.012237144403937500,0.15296430504922000,0.024474288807875100,183557166.05906300,2813555.2039601600
6,0.5045166015625,1080,18.0,0.3,0.018406087502465900,0.2300760937808240,0.036812175004931700,276091312.53698800,-780417.6146918480
7,0.46099328994751000,1260,21.0,0.35,0.016818243059881800,0.21022803824852300,0.03363648611976360,252273645.89822700,-6790536.340909170
8,0.19786739349365200,1440,24.0,0.4,0.007218720944464070,0.09023401180579780,0.014437441888928100,108280814.16696100,-10341017.384261900
9,0.0010251998901367200,1620,27.0,0.45,3.74019781053114E-05,0.00046752472631794700,7.48039562106229E-05,561029.6715796710,-9026877.945115680
10,0.0,1800,30.0,0.5,0.0,0.0,0.0,0.0,-3817186.184088630
11,0.09420990943908690,1980,33.0,0.55,0.0034370243345112100,0.0429628041813892,0.0068740486690224100,51555365.017668100,2772332.297638390
12,0.08028340339660650,2160,36.0,0.6,0.0029289489054220600,0.03661186131777680,0.005857897810844120,43934233.58133090,8918987.768931700
13,0.1443946361541750,2340,39.0,0.65,0.0052678946534352500,0.06584868316793900,0.010535789306870500,79018419.80152870,14204745.952672100
14,0.2896130084991460,2520,42.0,0.7,0.010565841361371400,0.13207301701714200,0.021131682722742800,158487620.42057100,19192968.495067500
15,0.36053895950317400,2700,45.0,0.75,0.013153405886171800,0.16441757357714700,0.026306811772343500,197301088.2925760,24927693.0641638
16,0.5406451225280760,2880,48.0,0.8,0.019724150607163700,0.24655188258954700,0.03944830121432740,295862259.10745600,32248596.29579170
17,0.5780174732208250,3060,51.0,0.85,0.021087591879251500,0.2635948984906410,0.04217518375850290,316313878.18877200,40529359.55798630
18,0.8426222801208500,3240,54.0,0.9,0.03074106852261900,0.38426335653273800,0.06148213704523810,461116027.8392860,46964069.39979360
19,1.2720937728881800,3420,57.0,0.95,0.046409313831512000,0.580116422893898,0.09281862766302410,696139707.4726800,48211042.857482200
20,1.8925347328186000,3600,60.0,1.0,0.06904462565916210,0.8630578207395240,0.13808925131832400,1035669384.887430,43737247.640893000
21,1.9951412677764900,3780,63.0,1.05,0.07278798089248980,0.9098497611561240,0.14557596178498000,1091819713.3873500,37185043.672100300
22,1.7884018421173100,3960,66.0,1.1,0.06524558496912960,0.8155698121141240,0.13049116993825900,978683774.5369440,33564274.855406000
23,2.099921703338620,4140,69.0,1.15,0.07661064571566950,0.9576330714458660,0.1532212914313390,1149159685.7350400,35155833.78024510
24,2.1313891410827600,4320,72.0,1.2,0.07775866029200480,0.9719832536500630,0.1555173205840100,1166379904.3800700,40605011.874495400
25,2.648164749145510,4500,75.0,1.25,0.09661198847126550,1.2076498558908200,0.19322397694253100,1449179827.0689800,47495617.141638900
26,2.7778687477111800,4680,78.0,1.3,0.10134393017472200,1.2667991271840200,0.2026878603494430,1520158952.6208200,54814193.01786450
27,3.0892786979675300,4860,81.0,1.35,0.1127049810812830,1.4088122635160400,0.2254099621625660,1690574716.219240,62898510.13396410
28,3.3565471172332800,5040,84.0,1.4,0.12245563328264900,1.5306954160331100,0.24491126656529800,1836834499.2397300,71941680.82691220
29,3.9758856296539300,5220,87.0,1.45,0.14505072493663400,1.8131340617079300,0.29010144987326800,2175760874.0495100,81152019.12277340
30,4.247862100601200,5400,90.0,1.5,0.1549731391988480,1.9371642399855900,0.3099462783976950,2324597087.9827100,89036101.74965550
31,4.917779207229610,5580,93.0,1.55,0.17941347048985700,2.2426683811232100,0.35882694097971300,2691202057.34785,94188388.45856580
32,5.5340471267700200,5760,96.0,1.6,0.2018965388703490,2.5237067358793700,0.4037930777406990,3028448083.0552400,96231038.40400250
