index,Mean Intensity (A.U.),Time (s),Time (min),Time (h),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Protein Mass (ug),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
1,0.584984302520752,180,3.0,0.05,0.021341760065812600,0.26677200082265200,0.04268352013162510,320126400.98718800,-16744156.167158800
2,0.49887847900390600,360,6.0,0.1,0.018200394019156200,0.22750492523944700,0.03640078803831240,273005910.2873430,-12161419.9326386
3,0.46484827995300300,540,9.0,0.15,0.016958883195691900,0.21198603994614400,0.033917766391383900,254383247.93537900,-7874632.856573930
4,0.4959847927093510,720,12.0,0.2,0.018094824761420500,0.22618530951776000,0.036189649522841100,271422371.4213080,-5757668.837880180
5,0.4997286796569820,900,15.0,0.25,0.018231411566580000,0.22789264458225100,0.03646282313316010,273471173.49870100,-6740284.4658567500
6,0.5065228939056400,1080,18.0,0.3,0.018479282303804500,0.23099102879755800,0.036958564607608900,277189234.557067,-10131298.110020000
7,0.5270915031433110,1260,21.0,0.35,0.019229679060343700,0.24037098825429800,0.03845935812068740,288445185.9051550,-13590201.251413100
8,0.2296903133392330,1440,24.0,0.4,0.008379704439254180,0.10474630549067900,0.016759408878508400,125695566.58881300,-14294679.881872300
9,0.07019376754760740,1620,27.0,0.45,0.0025608525539251300,0.03201065692406500,0.005121705107850260,38412788.308877000,-10806521.774237300
10,0.0,1800,30.0,0.5,0.0,0.0,0.0,0.0,-3932411.1950779300
11,0.12498164176940900,1980,33.0,0.55,0.004559657754541920,0.0569957219317736,0.009119315509083850,68394866.31812890,4328777.091906700
12,0.10351037979126000,2160,36.0,0.6,0.003776329861001400,0.04720412326251730,0.007552659722002810,56644947.915021100,12541138.81444350
13,0.2233271598815920,2340,39.0,0.65,0.008147559929102770,0.10184449911378800,0.01629511985820550,122213398.93654100,20610934.816444000
14,0.36805224418640100,2520,42.0,0.7,0.01342751019687640,0.16784387746095000,0.02685502039375280,201412652.9531460,29334060.616587800
15,0.49023914337158200,2700,45.0,0.75,0.017885208419476500,0.22356510524345200,0.03577041683895300,268278126.2921470,39475447.94441940
16,0.6530942916870120,2880,48.0,0.8,0.023826590924705300,0.29783238655881300,0.047653181849410600,357398863.8705790,50956793.39929510
17,1.1177284717559800,3060,51.0,0.85,0.04077766319566710,0.5097207899458380,0.08155532639133420,611664947.9350070,62310664.65827280
18,1.3536343574523900,3240,54.0,0.9,0.04938412799985280,0.6173015999981570,0.09876825599970560,740761919.9977920,70710324.5315921
19,1.7942476272583000,3420,57.0,0.95,0.06545885452753990,0.8182356815942460,0.1309177090550800,981882817.9130980,73376517.30149490
20,2.796818256378170,3600,60.0,1.0,0.10203525790025700,1.275440723753220,0.20407051580051500,1530528868.5038600,70255269.8676709
21,2.8905255794525100,3780,63.0,1.05,0.10545394656736300,1.3181743320920400,0.2109078931347260,1581809198.5104400,65258449.233884800
22,2.9075303077697800,3960,66.0,1.1,0.1060743236102470,1.3259290451280800,0.2121486472204930,1591114854.153700,63602814.69364970
23,3.22775936126709,4140,69.0,1.15,0.1177571185098580,1.4719639813732200,0.2355142370197150,1766356777.647860,67611339.4523922
24,3.759960412979130,4320,72.0,1.2,0.13717320728945100,1.7146650911181400,0.2743464145789020,2057598109.341770,75703701.98637760
25,4.09119725227356,4500,75.0,1.25,0.14925759505629900,1.8657199382037400,0.29851519011259800,2238863925.8444800,85030040.85432830
26,4.723420143127440,4680,78.0,1.3,0.17232274259372300,2.154034282421540,0.34464548518744600,2584841138.9058400,94021688.16445490
27,5.190353155136110,4860,81.0,1.35,0.1893576822769850,2.366971028462310,0.3787153645539700,2840365234.154770,102537464.16477200
28,5.675395488739010,5040,84.0,1.4,0.20705329746000600,2.5881662182500700,0.41410659492001100,3105799461.900090,110614446.88933900
29,6.522492170333860,5220,87.0,1.45,0.23795760387171800,2.9744700483964700,0.4759152077434360,3569364058.075770,117634845.99630400
30,7.010913610458370,5400,90.0,1.5,0.2557764977142010,3.1972062214275100,0.511552995428401,3836647465.713010,122432749.37354500
31,7.872039556503300,5580,93.0,1.55,0.2871926284509470,3.5899078556368400,0.5743852569018950,4307889426.764210,123912414.23676000
32,8.574413299560550,5760,96.0,1.6,0.3128170628780960,3.9102132859762000,0.6256341257561930,4692255943.171450,121788761.65097600
33,9.27901577949524,5940,99.0,1.65,0.3385228074660200,4.231535093325250,0.6770456149320390,5077842111.9902900,117089082.93969000
34,9.941855907440190,6120,102.0,1.7,0.36270495203235500,4.533811900404430,0.7254099040647090,5440574280.485320,111844095.5369920
35,10.319344282150300,6300,105.0,1.75,0.37647671699421900,4.70595896242774,0.7529534339884390,5647150754.913290,107956863.04368300
36,11.01595687866210,6480,108.0,1.8,0.40189096970068600,5.02363712125857,0.8037819394013720,6028364545.510290,106277336.86550000
37,11.562297344207800,6660,111.0,1.85,0.4218229013434260,5.272786266792820,0.8436458026868520,6327343520.151390,106630740.25024900
38,12.126075267791700,6840,114.0,1.9,0.4423909971430640,5.529887464288300,0.8847819942861280,6635864957.145960,108213644.23698900
39,12.620004653930700,7020,117.0,1.95,0.46041083528745100,5.7551354410931300,0.9208216705749020,6906162529.311760,109638512.92565900
40,13.43351697921750,7200,120.0,2.0,0.49008989638710800,6.12612370483885,0.9801797927742160,7351348445.806620,109133666.81858400
41,13.972035646438600,7380,123.0,2.05,0.5097364683331740,6.371705854164680,1.0194729366663500,7646047024.997610,105704756.26289300
42,14.639861822128300,7560,126.0,2.1,0.534100516985117,6.676256462313960,1.068201033970230,8011507754.776750,100772454.12003600
43,15.311760187149000,7740,129.0,2.15,0.5586131297733480,6.982664122166860,1.1172262595467000,8379196946.600230,98643307.92616090
44,15.346092700958300,7920,132.0,2.2,0.5598656698312860,6.998320872891080,1.1197313396625700,8397985047.469290,104479897.23365500
45,15.924997329711900,8100,135.0,2.25,0.5809856274688000,7.262320343360010,1.1619712549376000,8714784412.032000,120255148.31839600
46,16.505892038345300,8280,138.0,2.3,0.6021781884345110,7.527227355431380,1.204356376869020,9032672826.517660,141302806.65480600
47,17.14288878440860,8460,141.0,2.35,0.625417498717888,7.817718733973600,1.250834997435780,9381262480.76832,156571765.53559700
48,19.00559663772580,8640,144.0,2.4,0.6933739616638170,8.667174520797710,1.3867479233276300,10400609424.95730,153955311.29174600
49,19.878639936447100,8820,147.0,2.45,0.7252248686507020,9.065310858133770,1.450449737301400,10878373029.76050,128575911.45256200
50,21.029660940170300,9000,150.0,2.5,0.7672171306418660,9.590214133023330,1.5344342612837300,11508256959.628000,88250580.36855490
51,21.37331533432010,9180,153.0,2.55,0.7797545433449130,9.746931791811420,1.5595090866898300,11696318150.173700,50355806.91150900
52,20.03104281425480,9360,156.0,2.6,0.7307849249419460,9.134811561774320,1.4615698498838900,10961773874.129200,30611316.149758400
53,20.394756317138700,9540,159.0,2.65,0.7440541464882270,9.30067683110283,1.4881082929764500,11160812197.3234,32730282.556025900
54,20.652586221694900,9720,162.0,2.7,0.7534604569432600,9.418255711790750,1.5069209138865200,11301906854.148900,48137371.248372600
55,21.02458691596990,9900,165.0,2.75,0.7670320169446480,9.587900211808100,1.5340640338893000,11505480254.169700,64771789.52392460
56,21.718981742858900,10080,168.0,2.8,0.7923653596045260,9.904566995056570,1.584730719209050,11885480394.067900,75803742.31416460
57,22.234647274017300,10260,171.0,2.85,0.8111781892698190,10.13972736587270,1.6223563785396400,12167672839.047300,81829638.4864346
58,22.459723711013800,10440,174.0,2.9,0.8193895674113310,10.242369592641600,1.638779134822660,12290843511.170000,87002730.60211710
59,22.85891556739810,10620,177.0,2.95,0.8339531322496830,10.424414153121000,1.6679062644993700,12509296983.74530,93219353.5684889
60,23.397399187088000,10800,180.0,3.0,0.8535984255699860,10.66998031962480,1.7071968511399700,12803976383.549800,97367835.73175780
61,23.850664854049700,10980,183.0,3.05,0.8701347446962990,10.876684308703700,1.7402694893926000,13052021170.444500,94650806.78335860
62,25.802953481674200,11160,186.0,3.1,0.9413593489983920,11.766991862479900,1.8827186979967800,14120390234.975900,84893859.30582670
63,24.749812602996800,11340,189.0,3.15,0.9029380104233560,11.286725130291900,1.8058760208467100,13544070156.350300,74069339.5437848
64,25.340654850006100,11520,192.0,3.2,0.924493483652435,11.556168545655400,1.84898696730487,13867402254.786500,68601921.10678580
65,25.695019006729100,11700,195.0,3.25,0.9374216165546650,11.717770206933300,1.8748432331093300,14061324248.320000,69692618.08329340
66,26.186445474624600,11880,198.0,3.3,0.9553501416836690,11.941876771045900,1.910700283367340,14330252125.255000,74157716.37346310
67,26.526057243347200,12060,201.0,3.35,0.9677400688190990,12.096750860238700,1.935480137638200,14516101032.286500,79052799.5153816
68,27.112210750579800,12240,204.0,3.4,0.9891244845362200,12.364056056702700,1.9782489690724400,14836867268.0433,84257871.01694850
69,27.432103633880600,12420,207.0,3.45,1.0007950150662700,12.509937688328300,2.0015900301325300,15011925225.99400,91952282.44422950
70,27.88682246208190,12600,210.0,3.5,1.0173843493220100,12.717304366525100,2.0347686986440200,15260765239.830100,104912246.38916900
71,28.549795150756800,12780,213.0,3.55,1.0415713300510900,13.01964162563870,2.0831426601021900,15623569950.766400,124222044.98724300
72,28.960421085357700,12960,216.0,3.6,1.0565520400210700,13.206900500263400,2.1131040800421400,15848280600.316000,146513704.98519000
73,29.55863046646120,13140,219.0,3.65,1.0783762856044400,13.479703570055500,2.1567525712088800,16175644284.066600,163438551.9068570
74,31.736867904663100,13320,222.0,3.7,1.157844094521970,14.47305118152470,2.315688189043940,17367661417.82960,166173969.88241400
75,32.66542053222660,13500,225.0,3.75,1.1917201272643000,14.896501590803700,2.383440254528600,17875801908.964500,151593932.73907000
76,33.05884146690370,13680,228.0,3.8,1.2060731537584600,15.075914421980700,2.4121463075169100,18091097306.376800,123254995.99168400
77,33.84485864639280,13860,231.0,3.85,1.2347491198997300,15.434363998746700,2.4694982397994700,18521236798.496,87668937.31900020
78,34.41699838638310,14040,234.0,3.9,1.2556222766705600,15.695278458382000,2.5112445533411200,18834334150.058400,52616026.09070880
79,34.9414587020874,14220,237.0,3.95,1.2747559631191900,15.934449538989900,2.5495119262383800,19121339446.78780,27629315.507104300
80,33.470736265182500,14400,240.0,4.0,1.2211001551999400,15.263751939999200,2.4422003103998700,18316502327.99900,20398527.822148100
81,33.74637818336490,14580,243.0,4.05,1.2311562945810800,15.389453682263500,2.4623125891621500,18467344418.71620,30360631.518282800
82,34.31052494049070,14760,246.0,4.1,1.251737846394700,15.64672307993370,2.503475692789400,18776067695.920500,48539758.41684790
83,34.72761678695680,14940,249.0,4.15,1.2669544497707700,15.83693062213460,2.5339088995415400,19004316746.56150,65235533.03044850
84,35.2033314704895,15120,252.0,4.2,1.2843097678399700,16.05387209799970,2.5686195356799500,19264646517.5996,76576779.44199290
85,35.55089783668520,15300,255.0,4.25,1.2969898995329600,16.21237374416200,2.5939797990659300,19454848492.994400,84049553.54251590
86,35.96556353569030,15480,258.0,4.3,1.3121179906929400,16.40147488366180,2.6242359813858800,19681769860.394100,90604222.95612120
87,36.73212170600890,15660,261.0,4.35,1.3400840411953800,16.751050514942200,2.680168082390750,20101260617.930600,98345387.23987310
88,37.01074171066280,15840,264.0,4.4,1.3502488289738500,16.87811036217310,2.700497657947690,20253732434.6077,107853830.29533100
89,37.473122119903600,16020,267.0,4.45,1.3671176777799200,17.088970972249000,2.7342353555598400,20506765166.698800,117643919.3498640
90,38.495038986206100,16200,270.0,4.5,1.4043998825738900,17.554998532173600,2.8087997651477700,21065998238.608300,124786276.19435600
91,39.300230741500900,16380,273.0,4.55,1.433775387479610,17.922192343495200,2.867550774959230,21506630812.1942,127518845.01156500
92,39.93559408187870,16560,276.0,4.6,1.456955106843920,18.21193883554900,2.913910213687840,21854326602.658800,127384657.09046500
93,40.64980673789980,16740,279.0,4.65,1.4830114558349800,18.537643197937200,2.9660229116699500,22245171837.52460,128133916.68236400
94,41.15302348136900,16920,282.0,4.7,1.501370121108460,18.767126513855700,3.002740242216920,22520551816.626900,132233904.24504200
95,41.69095826148990,17100,285.0,4.75,1.520995391323270,19.01244239154090,3.041990782646550,22814930869.849100,138604936.5580200
96,42.88347244262700,17280,288.0,4.8,1.5645014331422400,19.556267914278,3.1290028662844800,23467521497.13360,144064793.5864640
97,43.70505976676940,17460,291.0,4.85,1.5944750913573500,19.930938641966900,3.1889501827147000,23917126370.36020,146968425.44318300
98,44.48680257797240,17640,294.0,4.9,1.622995117344330,20.287438966804100,3.245990234688660,24344926760.165000,149061506.16190800
99,45.016923666000400,17820,297.0,4.95,1.6423353235990400,20.529191544988000,3.2846706471980900,24635029853.98560,153829758.2612340
100,46.16234874725340,18000,300.0,5.0,1.684123431676690,21.051542895958700,3.368246863353390,25261851475.15040,163334755.61668200
101,46.69147872924810,18180,303.0,5.05,1.7034274797865300,21.29284349733160,3.4068549595730500,25551412196.797900,176015220.42409600
102,47.60506296157840,18360,306.0,5.1,1.7367574262522500,21.70946782815310,3.4735148525044900,26051361393.783700,186737841.37741000
103,49.35399842262270,18540,309.0,5.15,1.8005631742344700,22.50703967793090,3.6011263484689500,27008447613.517100,189665688.5523890
104,50.34056639671330,18720,312.0,5.2,1.8365557588233700,22.95694698529220,3.6731115176467500,27548336382.35060,182106352.84609200
105,51.36554503440860,18900,315.0,5.25,1.8739496650598600,23.424370813248200,3.7478993301197200,28109244975.897900,165688680.69354800
106,52.00162720680240,19080,318.0,5.3,1.8971556092995100,23.71444511624390,3.7943112185990200,28457334139.49270,144674825.6429500
107,53.130610942840600,19260,321.0,5.35,1.9383438940259700,24.229298675324600,3.876687788051940,29075158410.389500,124633210.14720100
108,53.8049533367157,19440,324.0,5.4,1.9629456713903800,24.536820892379700,3.9258913427807500,29444185070.855600,111505939.43321900
109,53.21149396896360,19620,327.0,5.45,1.9412947187395100,24.26618398424390,3.8825894374790300,29119420781.092700,108580570.69884000
110,54.299630641937300,19800,330.0,5.5,1.9809927955825100,24.76240994478140,3.9619855911650200,29714891933.737600,113879435.56000500
111,55.31577944755550,19980,333.0,5.55,2.0180645664099000,25.225807080123700,4.0361291328197900,30270968496.148400,122901272.2618190
112,55.79997944831850,20160,336.0,5.6,2.035729451083930,25.446618138549100,4.071458902167860,30535941766.258900,134187558.05001100
113,56.30977487564090,20340,339.0,5.65,2.054328123981100,25.67910154976370,4.108656247962200,30814921859.716500,150207512.3712400
114,57.250423192977900,20520,342.0,5.7,2.0886454391781300,26.108067989726600,4.177290878356250,31329681587.671900,172589709.1439430
115,57.85292196273800,20700,345.0,5.75,2.110626172898260,26.382827161228300,4.221252345796520,31659392593.473900,198111509.38339300
116,59.34023118019100,20880,348.0,5.8,2.16488711003072,27.061088875384000,4.32977422006144,32473306650.4608,220273869.0716240
117,61.24335837364200,21060,351.0,5.85,2.2343181764069200,27.9289772050865,4.468636352813840,33514772646.103800,234528314.80878200
118,62.099772930145300,21240,354.0,5.9,2.2655624233089400,28.31953029136170,4.531124846617870,33983436349.63400,241113629.0037520
119,63.50549507141110,21420,357.0,5.95,2.3168468501368400,28.960585626710500,4.633693700273680,34752702752.05260,242822980.49267600
120,64.79973316192630,21600,360.0,6.0,2.3640640466954200,29.55080058369280,4.728128093390850,35460960700.431300,241747626.21578000
121,66.4764416217804,21780,363.0,6.05,2.4252347644332000,30.31543455541500,4.850469528866390,36378521466.49790,239187379.78799600
122,67.71274757385250,21960,366.0,6.1,2.4703384447941300,30.879230559926600,4.940676889588260,37055076671.91190,236692138.22820100
123,68.2771348953247,22140,369.0,6.15,2.490928773025400,31.136609662817600,4.981857546050810,37363931595.38110,234907695.85768300
124,70.413747549057,22320,372.0,6.2,2.568878000744920,32.11097500931150,5.137756001489850,38533170011.17380,232391658.69109700
125,71.30918312072750,22500,375.0,6.25,2.601545836518700,32.51932295648380,5.203091673037400,39023187547.78050,227481212.8787130
126,73.04453158378600,22680,378.0,6.3,2.664855895215290,33.3106986901911,5.329711790430580,39972838428.22930,220626955.59604700
127,73.45406007766720,22860,381.0,6.35,2.67979656767242,33.49745709590530,5.35959313534484,40196948515.0863,213526564.84560400
128,74.95379281044010,23040,384.0,6.4,2.734510747194440,34.18138433993050,5.469021494388880,41017661207.916600,207146735.50705000
129,76.49619221687320,23220,387.0,6.45,2.790781518761990,34.884768984524800,5.581563037523970,41861722781.42980,201934108.47194800
130,77.03124666213990,23400,390.0,6.5,2.8103017068146000,35.12877133518250,5.6206034136291900,42154525602.21890,198451902.50530400
131,77.84014678001400,23580,393.0,6.55,2.8398125025034500,35.49765628129310,5.679625005006900,42597187537.551800,196282880.9406260
132,79.53329110145570,23760,396.0,6.6,2.9015828435353300,36.26978554419160,5.803165687070650,43523742653.02990,193655364.52116600
133,80.8527467250824,23940,399.0,6.65,2.949720041773960,36.87150052217450,5.899440083547910,44245800626.60940,189110285.6244630
134,80.66048407554630,24120,402.0,6.7,2.9427057965739800,36.78382245717480,5.8854115931479600,44140586948.6097,182173698.21467400
135,82.91077184677120,24300,405.0,6.75,3.024802190418350,37.81002738022930,6.049604380836690,45372032856.27520,172851692.97906600
136,83.37616491317750,24480,408.0,6.8,3.0417809488512400,38.02226186064050,6.083561897702480,45626714232.768600,162950906.50411000
137,84.48320889472960,24660,411.0,6.85,3.082168813849980,38.52711017312470,6.164337627699950,46232532207.74960,157392051.84900900
138,84.59438300132750,24840,414.0,6.9,3.0862247365445200,38.57780920680650,6.172449473089030,46293371048.16770,161207649.13664700
139,85.53323912620540,25020,417.0,6.95,3.120476667864930,39.00595834831170,6.240953335729870,46807150017.974,174512704.63437800
140,86.57513308525090,25200,420.0,7.0,3.158487689343890,39.48109611679860,6.316975378687770,47377315340.15830,191891991.06936500
141,88.05587315559390,25380,423.0,7.05,3.212508966778030,40.15636208472540,6.425017933556070,48187634501.67050,207083289.70043800
142,88.94519901275640,25560,426.0,7.1,3.2449539041585700,40.56192380198220,6.489907808317150,48674308562.37860,217486918.94264200
143,90.6660988330841,25740,429.0,7.15,3.3077368385116400,41.34671048139550,6.615473677023280,49616052577.67460,224165610.79038400
144,91.19921636581420,25920,432.0,7.2,3.327186362920030,41.58982953650040,6.654372725840070,49907795443.80050,228523739.27474000
145,92.97249937057500,26100,435.0,7.25,3.391880373089730,42.398504663621600,6.78376074617945,50878205596.34590,230031976.90711400
146,94.1695351600647,26280,438.0,7.3,3.435551375028400,42.94439218785510,6.871102750056810,51533270625.42610,227555175.40302800
147,95.75531840324400,26460,441.0,7.35,3.493404902629890,43.66756128287360,6.986809805259780,52401073539.44830,222047823.53503800
148,96.5221688747406,26640,444.0,7.4,3.5213816170451500,44.01727021306440,7.0427632340903000,52820724255.67730,216549983.0664500
149,97.64087414741520,26820,447.0,7.45,3.5621949164976300,44.5274364562204,7.124389832995270,53432923747.464500,213466095.58917000
150,98.97641801834110,27000,450.0,7.5,3.6109190561503500,45.136488201879300,7.221838112300700,54163785842.25520,212838023.7408410
151,100.15634226799000,27180,453.0,7.55,3.6539657842819100,45.6745723035239,7.3079315685638200,54809486764.228700,213161240.2425920
152,101.09995794296300,27360,456.0,7.6,3.688391356460220,46.10489195575270,7.376782712920430,55325870346.90330,212704343.21093300
153,102.46248173713700,27540,459.0,7.65,3.73809979440278,46.726247430034700,7.47619958880556,56071496916.0417,210073872.38820300
154,103.8542709350590,27720,462.0,7.7,3.788875910951960,47.360948886899500,7.577751821903920,56833138664.27940,204875767.88944400
155,104.510910987854,27900,465.0,7.75,3.812831860532110,47.66039825665130,7.62566372106421,57192477907.981600,198430658.0577130
156,106.12837791442900,28080,468.0,7.8,3.871841291917870,48.398016148973300,7.74368258383573,58077619378.768000,193174658.43452600
157,106.59725499153100,28260,471.0,7.85,3.888947156189380,48.61183945236720,7.77789431237875,58334207342.84060,190571739.33192100
158,107.59503841400100,28440,474.0,7.9,3.9253489097206100,49.06686137150760,7.850697819441220,58880233645.809200,189536272.84521300
159,109.10007405281100,28620,477.0,7.95,3.9802565531489100,49.7532069143614,7.9605131062978200,59703848297.23370,187495664.71727400
160,110.0398862361910,28800,480.0,8.0,4.014543363988450,50.18179204985560,8.029086727976890,60218150459.82670,183223403.4655660
