index,Mean Intensity (A.U.),Time (s),Time (min),Time (h),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Protein Mass (ug),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
1,0.9839277267456060,180,3.0,0.05,0.035896261448075800,0.44870326810095300,0.07179252289615160,538443921.7211370,-17353285.545653500
2,0.6482656002044680,360,6.0,0.1,0.02365042760782950,0.295630345097873,0.04730085521565910,354756414.1174430,-10596269.055269100
3,0.9090664386749270,540,9.0,0.15,0.033165125516158200,0.4145640689519790,0.06633025103231650,497476882.74237400,-4900281.3118694000
4,0.9191861152648930,720,12.0,0.2,0.03353431783259490,0.4191789729074420,0.06706863566518970,503014767.48892300,-3102251.2173628100
5,0.962390661239624,900,15.0,0.25,0.035110532869429,0.43888166086786400,0.070221065738858,526657993.04143500,-5800944.623995800
6,0.9987590312957760,1080,18.0,0.3,0.03643734629737640,0.45546682871720600,0.07287469259475280,546560194.4606460,-11239478.832034700
7,0.750356912612915,1260,21.0,0.35,0.027374986172625800,0.3421873271578310,0.054749972345251600,410624792.5893870,-16718605.280024900
8,0.7272059917449950,1440,24.0,0.4,0.026530379921934100,0.33162974902418100,0.053060759843868200,397955698.8290110,-20187629.5516468
9,0.44597911834716800,1620,27.0,0.45,0.01627048674146310,0.20338108426829000,0.03254097348292630,244057301.1219470,-20938072.4418081
10,0.41278529167175300,1800,30.0,0.5,0.01505948897362510,0.18824361217031800,0.03011897794725020,225892334.60437600,-19348197.70749780
11,0.29650282859802200,1980,33.0,0.55,0.010817200050508000,0.1352150006313520,0.021634400101016000,162258000.7576200,-16273240.010265600
12,0.10277295112609900,2160,36.0,0.6,0.0037494265311690500,0.04686783163962010,0.007498853062338110,56241397.9675358,-12548250.83532790
13,0.23371076583862300,2340,39.0,0.65,0.008526381080367960,0.1065797635046050,0.017052762160735900,127895716.20551900,-8573649.372534930
14,0.07929158210754400,2520,42.0,0.7,0.0028927646661389700,0.03615955832674090,0.005785529332277940,43391469.99208450,-4009970.166934390
15,0.09926533699035650,2700,45.0,0.75,0.0036214595772423600,0.04526824471553680,0.007242919154484720,54321893.65863540,1977704.3689596800
16,0.0,2880,48.0,0.8,0.0,0.0,0.0,0.0,9756385.975931140
17,0.16472363471984900,3060,51.0,0.85,0.006009549784859130,0.07511937231074130,0.01201909956971830,90143246.77288690,18122628.23587400
18,0.21026945114135700,3240,54.0,0.9,0.00767118050192428,0.09588975627405820,0.01534236100384860,115067707.52886400,24060314.436895000
19,0.39613890647888200,3420,57.0,0.95,0.014452185226809400,0.1806523153351240,0.02890437045361870,216782778.40214000,24334384.454961600
20,1.047724962234500,3600,60.0,1.0,0.038223751753027700,0.477796896912853,0.07644750350605550,573356276.2954160,18509444.71187350
21,0.989720344543457,3780,63.0,1.05,0.03610759132250510,0.4513448915313210,0.07221518264501020,541613869.837576,10394455.83950610
22,0.5908632278442380,3960,66.0,1.1,0.02155623866491040,0.26945298331138500,0.04311247732982080,323343579.9736560,5339262.28309917
23,0.6344573497772220,4140,69.0,1.15,0.023146666453424100,0.28933333066780200,0.04629333290684820,347199996.80136200,5759555.668682030
24,0.7349610328674320,4320,72.0,1.2,0.026813304140964200,0.33516630176205500,0.053626608281928300,402199562.1144630,9888670.175708540
25,0.8772115707397460,4500,75.0,1.25,0.03200297647135300,0.4000372058919200,0.06400595294270600,480044647.0702950,14537640.111928300
26,0.9185068607330320,4680,78.0,1.3,0.03350953684756640,0.41886921059458600,0.06701907369513280,502643052.7134960,18056766.293487300
27,1.129295825958250,4860,81.0,1.35,0.041199670584442400,0.5149958823055340,0.08239934116888480,617995058.766636,20788932.96221080
28,1.1003994941711400,5040,84.0,1.4,0.04014545668994090,0.5018182086242650,0.0802909133798817,602181850.3491130,23724277.866340200
29,1.3192520141601600,5220,87.0,1.45,0.048129770031816000,0.6016221253977040,0.09625954006363190,721946550.4772390,27154240.75821330
30,1.377572774887090,5400,90.0,1.5,0.050257464188610400,0.6282183023576310,0.10051492837722100,753861962.8291570,30322035.159506900
31,1.69138503074646,5580,93.0,1.55,0.06170615749782020,0.7713269687227570,0.12341231499564000,925592362.4673020,32170388.66883900
32,1.9102568626403800,5760,96.0,1.6,0.06969117538858520,0.8711396923573180,0.13938235077717000,1045367630.8287800,32432602.423858000
33,2.039896249771120,5940,99.0,1.65,0.07442075989760740,0.9302594987200940,0.14884151979521500,1116311398.4641100,31884108.526289500
34,2.1902315616607700,6120,102.0,1.7,0.07990538596696120,0.9988173245870230,0.15981077193392200,1198580789.5044200,31437832.813008800
35,2.298116445541380,6300,105.0,1.75,0.08384130919872400,1.0480163649840500,0.16768261839744800,1257619637.9808600,31224239.7449489
36,2.5833613872528100,6480,108.0,1.8,0.09424779203896390,1.1780974004870500,0.18849558407792800,1413716880.584460,30905074.804250400
37,2.771146059036260,6660,111.0,1.85,0.10109866887783000,1.263733360972880,0.20219733775566100,1516480033.1674600,30763494.39496860
38,2.8988072872161900,6840,114.0,1.9,0.1057560849653780,1.3219510620672200,0.2115121699307560,1586341274.4806700,31853795.155326800
39,2.8919289112091100,7020,117.0,1.95,0.10550514378669500,1.318814297333690,0.2110102875733900,1582577156.8004200,34659079.937738100
40,3.1947214603424100,7200,120.0,2.0,0.11655180932194600,1.4568976165243200,0.2331036186438920,1748277139.8291900,37944437.685499500
41,3.4422197341918900,7380,123.0,2.05,0.12558119481902300,1.5697649352377900,0.25116238963804500,1883717922.2853400,39725675.7021784
42,3.78578782081604,7560,126.0,2.1,0.1381154587974010,1.7264432349675200,0.2762309175948030,2071731881.9610200,39847860.27619480
43,4.107371091842650,7740,129.0,2.15,0.149847659100649,1.873095738758120,0.299695318201298,2247714886.509740,41482449.10689650
44,3.913170576095580,7920,132.0,2.2,0.1427627154639200,1.784533943299000,0.285525430927839,2141440731.9587900,49470927.46458520
45,4.183976173400880,8100,135.0,2.25,0.15264241318788300,1.9080301648485400,0.30528482637576600,2289636197.818250,66172324.994767500
46,4.49009108543396,8280,138.0,2.3,0.1638102872265980,2.0476285903324800,0.3276205744531970,2457154308.3989700,87740320.49032970
47,4.790075063705440,8460,141.0,2.35,0.17475448873811000,2.184431109226380,0.34950897747621900,2621317331.0716400,103951094.37332400
48,6.338454723358150,8640,144.0,2.4,0.2312434356118940,2.890542945148680,0.4624868712237880,3468651534.178410,103136402.7581700
49,6.96261191368103,8820,147.0,2.45,0.254014325261108,3.1751790657638600,0.508028650522216,3810214878.9166200,80492671.73113220
50,7.865823745727540,9000,150.0,2.5,0.2869658593878820,3.5870732423485200,0.5739317187757640,4304487890.818230,43823981.85396850
51,7.966039180755620,9180,153.0,2.55,0.2906219810308800,3.632774762886000,0.5812439620617600,4359329715.463200,10222564.08974220
52,6.275547981262210,9360,156.0,2.6,0.22894843283908700,2.8618554104885900,0.45789686567817400,3434226492.5863100,-5728540.1122571400
53,6.585841178894040,9540,159.0,2.65,0.24026874168391700,3.0033592710489600,0.48053748336783400,3604031125.2587500,-1967722.5582804600
54,6.894842624664310,9720,162.0,2.7,0.2515419240363350,3.144274050454190,0.5030838480726690,3773128860.5450200,12492854.326384000
55,6.917266845703130,9900,165.0,2.75,0.2523600183732440,3.154500229665560,0.5047200367464880,3785400275.5986600,27487026.395357100
56,7.324225902557370,10080,168.0,2.8,0.26720695103548400,3.3400868879435500,0.5344139020709670,4008104265.5322500,38924112.638436800
57,7.42774224281311,10260,171.0,2.85,0.27098349834984600,3.387293729373080,0.5419669966996920,4064752475.2476900,48262803.729529300
58,7.725695610046390,10440,174.0,2.9,0.2818536178503060,3.5231702231288200,0.563707235700611,4227804267.754580,57857031.29302160
59,7.928535461425780,10620,177.0,2.95,0.2892537470867150,3.6156718385839400,0.5785074941734290,4338806206.30072,67004613.26412380
60,8.41135835647583,10800,180.0,3.0,0.30686839133620400,3.83585489170256,0.6137367826724090,4603025870.043070,71463657.87289910
61,8.768753290176390,10980,183.0,3.05,0.31990709492347500,3.9988386865434500,0.6398141898469510,4798606423.852130,67382791.60497620
62,10.518221616745000,11160,186.0,3.1,0.38373228323618400,4.796653540452310,0.7674645664723690,5755984248.542770,56474158.89008550
63,9.124632596969600,11340,189.0,3.15,0.3328905044700910,4.161131305876150,0.6657810089401830,4993357567.051370,45893165.183771100
64,9.744785785675050,11520,192.0,3.2,0.35551531764946900,4.4439414706183600,0.7110306352989370,5332729764.742030,41828430.4756107
65,9.84619140625,11700,195.0,3.25,0.35921486037960600,4.4901857547450800,0.7184297207592130,5388222905.694100,44516629.2790585
66,10.341825246810900,11880,198.0,3.3,0.37729688148712600,4.716211018589090,0.7545937629742530,5659453222.306890,50151825.34028050
67,10.445196628570600,12060,201.0,3.35,0.38106814033574700,4.763351754196850,0.7621362806714950,5716022105.036210,55738451.98351610
68,10.909903049469000,12240,204.0,3.4,0.3980218481414460,4.9752731017680700,0.796043696282891,5970327722.121680,61174590.01753560
69,11.167614221572900,12420,207.0,3.45,0.40742382692552600,5.092797836569080,0.8148476538510530,6111357403.882900,68458029.2822024
70,11.515283584594700,12600,210.0,3.5,0.4201077162125950,5.251346452657440,0.8402154324251900,6301615743.188920,80200590.71689170
71,11.967206001281700,12780,213.0,3.55,0.436595030049455,5.45743787561819,0.87319006009891,6548925450.741830,97467631.2312628
72,12.279774188995400,12960,216.0,3.6,0.447998336493141,5.599979206164270,0.895996672986282,6719975047.397120,117007803.78017600
73,12.698708772659300,13140,219.0,3.65,0.46328216775032200,5.791027096879030,0.9265643355006440,6949232516.25483,131090667.40046600
74,14.835098505020100,13320,222.0,3.7,0.5412232627141360,6.765290783926710,1.0824465254282700,8118348940.712040,132329374.78776500
75,15.28894853591920,13500,225.0,3.75,0.5577809009679690,6.9722612620996100,1.1155618019359400,8366713514.519530,118958662.3136170
76,15.410540580749500,13680,228.0,3.8,0.5622168973451340,7.0277112168141800,1.1244337946902700,8433253460.177000,94187303.90938440
77,16.28923726081850,13860,231.0,3.85,0.5942740544959320,7.428425681199160,1.1885481089918600,8914110817.438980,62313639.08361960
78,16.722978591918900,14040,234.0,3.9,0.6100980746945660,7.626225933682080,1.2201961493891300,9151471120.41849,28964145.435854200
79,17.18479084968570,14220,237.0,3.95,0.6269461958462600,7.836827448078250,1.2538923916925200,9404192937.6939,3304829.08823359
80,15.495279312133800,14400,240.0,4.0,0.5653083882888930,7.066354853611170,1.1306167765777900,8479625824.333400,-5897125.730772480
81,15.63146686553960,14580,243.0,4.05,0.5702768670603940,7.128460838254930,1.1405537341207900,8554153005.905920,1847637.7525474100
82,16.029295921325700,14760,246.0,4.1,0.5847907133622710,7.309883917028390,1.169581426724540,8771860700.434060,17895019.62970860
83,16.338351011276200,14940,249.0,4.15,0.5960658527949380,7.450823159936720,1.1921317055898800,8940987791.924070,32533398.5816709
84,16.5573673248291,15120,252.0,4.2,0.6040561417551760,7.5507017719397,1.208112283510350,9060842126.327630,41908374.15281290
85,16.704943656921400,15300,255.0,4.25,0.6094401130127540,7.618001412659420,1.2188802260255100,9141601695.191300,47331611.27778580
86,16.929560661315900,15480,258.0,4.3,0.6176347298491940,7.72043412311492,1.2352694596983900,9264520947.737910,51194097.65431670
87,17.533185720443700,15660,261.0,4.35,0.6396565535564390,7.995706919455490,1.279313107112880,9594848303.346580,55170433.64194770
88,17.560654640197800,15840,264.0,4.4,0.640658691720029,8.008233646500370,1.281317383440060,9609880375.800430,60343548.41989380
89,17.809479475021400,16020,267.0,4.45,0.6497364736371480,8.12170592046435,1.2994729472743000,9746047104.557220,66612229.50190420
90,18.290921449661300,16200,270.0,4.5,0.6673007382919430,8.341259228649290,1.3346014765838900,10009511074.379100,72092327.11218310
91,18.904802799224900,16380,273.0,4.55,0.6896967383466600,8.62120922933326,1.3793934766933200,10345451075.199900,74563960.90558910
92,19.26673460006710,16560,276.0,4.6,0.7029009587342490,8.786261984178110,1.405801917468500,10543514381.013700,73960462.01551850
93,19.76478910446170,16740,279.0,4.65,0.7210712920007700,9.013391150009620,1.4421425840015400,10816069380.011500,72924366.7256769
94,19.949820518493700,16920,282.0,4.7,0.7278217227830870,9.097771534788590,1.4556434455661700,10917325841.746300,74500906.23017360
