index,Mean Intensity (A.U.),Time (s),Time (min),Time (h),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Protein Mass (ug),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
1,0.7031023502349850,180,3.0,0.05,0.025651015926007000,0.32063769907508500,0.051302031852014100,384765238.8901060,-22145680.362914100
2,0.4714207649230960,360,6.0,0.1,0.017198664667884300,0.2149833083485500,0.03439732933576870,257979970.01826500,-14870328.99550260
3,0.41585755348205600,540,9.0,0.15,0.01517157313405850,0.18964466417572700,0.03034314626811700,227573597.0108770,-7369603.536501580
4,0.5211484432220460,720,12.0,0.2,0.019012860663080800,0.23766075828851300,0.038025721326161700,285192909.9462130,-3035593.7261954500
5,0.6596372127532960,900,15.0,0.25,0.024065293828226900,0.3008161728528340,0.04813058765645370,360979407.4234030,-3771475.7855494700
6,0.7371838092803960,1080,18.0,0.3,0.0268943968483768,0.33617996060471,0.0537887936967536,403415952.725652,-8474132.19900907
7,0.4813811779022220,1260,21.0,0.35,0.01756204663051260,0.21952558288140300,0.03512409326102530,263430699.4576900,-13820506.617444200
8,0.39595556259155300,1440,24.0,0.4,0.01444549636142250,0.18056870451777500,0.0288909927228449,216682445.42133700,-16628361.373677700
9,0.1770009994506840,1620,27.0,0.45,0.0064574602180056400,0.08071825272506670,0.012914920436011300,96861903.27008460,-15491971.384233200
10,0.1715259552001950,1800,30.0,0.5,0.0062577162586547900,0.07822145323318350,0.012515432517309600,93865743.87982180,-10666520.19201260
11,0.06239724159240720,1980,33.0,0.55,0.0022764148595020300,0.028455185743776900,0.004552829719004060,34146222.89253040,-3317097.1177304800
12,0.0,2160,36.0,0.6,0.0,0.0,0.0,0.0,4782391.922854200
13,0.04719710350036620,2340,39.0,0.65,0.0017218739962179300,0.021523424952725600,0.0034437479924358500,25828109.943268900,11781783.823961500
14,0.4559042453765870,2520,42.0,0.7,0.01663258138019420,0.20790726725242300,0.03326516276038840,249488720.70291300,17209470.887014500
15,0.41666078567504900,2700,45.0,0.75,0.015200877148997500,0.19001096436246800,0.030401754297995100,228013157.2349630,22763185.8025955
16,0.30692434310913100,2880,48.0,0.8,0.011197404205149500,0.13996755256437200,0.02239480841029900,167961063.0772420,30557442.469018000
17,0.5308537483215330,3060,51.0,0.85,0.01936693562185530,0.24208669527318700,0.03873387124371060,290504034.3278300,40183650.84876590
18,0.928924560546875,3240,54.0,0.9,0.033889601832056900,0.42362002290070700,0.06777920366411380,508344027.48085400,47991731.00699100
19,1.0683116912841800,3420,57.0,0.95,0.03897480956778440,0.4871851195972990,0.07794961913556890,584622143.5167660,49874126.94499820
20,1.9695093631744400,3600,60.0,1.0,0.0718528618547829,0.898160773184788,0.1437057237095660,1077792927.8217400,45282172.91144900
21,2.055347204208370,3780,63.0,1.05,0.07498445119832550,0.9373056399790690,0.14996890239665100,1124766767.974880,38536800.40600000
22,1.725640058517460,3960,66.0,1.1,0.06295587066206430,0.7869483832757960,0.12591174132412900,944338059.9309650,35529829.988760200
23,1.980936050415040,4140,69.0,1.15,0.0722697373442367,0.9033717168029550,0.1445394746884730,1084046060.1635500,38914222.86539870
24,2.315037250518800,4320,72.0,1.2,0.0844586244982839,1.0557328062285400,0.1689172489965680,1266879367.4742600,46830463.109852700
25,2.501042366027830,4500,75.0,1.25,0.09124457846166670,1.1405572307708300,0.18248915692333300,1368668676.925,55724914.225889400
26,2.987084150314330,4680,78.0,1.3,0.10897665622427300,1.362208202803410,0.21795331244854600,1634649843.364090,63430524.80702760
27,3.3012614250183100,4860,81.0,1.35,0.12043866637731500,1.5054833297164400,0.2408773327546300,1806579995.6597300,69915965.48398920
28,3.713578462600710,5040,84.0,1.4,0.13548107221489400,1.6935134026861800,0.27096214442978800,2032216083.2234100,76224509.3827838
