Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.17714524269104004,0.006462722589343439,0.07156946389084595,85883356.6690158,-42941678.3345079
2.0,0.0,0.0,0.0,0.0,-14643815.040417999
4.0,0.05632638931274414,0.002054934262177621,0.022756747089452745,27308096.507343803,127690289.67691404
6.0,1.05350923538208,0.038434777192751124,0.4256342989230433,510761158.70765615,50530670.59754399
8.0,0.47322988510131836,0.017264666112038363,0.19119231574793005,229430778.89751977,-57422858.48906171
10.0,0.5797417163848877,0.02115049678754355,0.23422477062617375,281069724.7514093,46123317.20599568
12.0,0.8537704944610596,0.03114778459104306,0.34493670643458785,413924047.7215025,62071679.02813771
14.0,1.0918643474578857,0.039834072175013,0.4411303673866307,529356440.86396015,32230200.293694153
16.0,1.1196858882904053,0.040849074879445,0.45237070741356433,542844848.8962791,24866088.03808725
18.0,1.2970221042633057,0.047318764674477265,0.5240173275135867,628820793.0163091,46484362.0290249
20.0,1.5032052993774414,0.054840867850181496,0.6073185808436463,728782297.0123787,42459350.8860403
22.0,1.6473331451416016,0.06009902929117539,0.6655484971337238,798658196.5604703,54796888.81095067
24.0,1.9553072452545166,0.07133473138227764,0.7899748768801516,947969852.2561814,56305307.14913681
26.0,2.111880302429199,0.07704692674306557,0.8532328542975094,1023879425.1570176,56728943.86320719
28.0,2.423349618911743,0.08841014348510301,0.9790713564241713,1174885627.7090101,55469361.523988396
30.0,2.569530487060547,0.09374320456178609,1.038130726044141,1245756871.2529712,72163191.03459525
32.0,3.0187323093414307,0.11013126398651618,1.2196153265394898,1463538391.8473911,66648689.387507856
34.0,3.119415760040283,0.11380446006742595,1.2602930240025003,1512351628.8030026,44693528.84727752
36.0,3.3874764442443848,0.12358401616954673,1.368593756030414,1642312507.2365012,83742084.03082049
38.0,3.8103301525115967,0.13901082736070292,1.5394333041052413,1847319964.9262846,70877976.65135139
40.0,3.9722554683685303,0.14491828714160349,1.6048536782015859,1925824413.8419068,55624165.19911033
42.0,4.269257545471191,0.15575370108563513,1.7248471881022702,2069816625.7227259,61542624.39231032
44.0,4.480013132095337,0.1634426170836889,1.8099957595092881,2171994911.411148,54312567.4379729
46.0,4.717363595962524,0.17210178388446495,1.9058890795621757,2287066895.4746175,76854953.19421053
48.0,5.114105224609375,0.18657595799514626,2.0661789368233237,2479414724.18799,82484813.48813069
50.0,5.397904872894287,0.1969297127443923,2.1808384578559448,2617006149.42714,98448953.32158661
52.0,5.926358699798584,0.21620909294494384,2.3943421145619475,2873210537.4743366,105595612.21611285
54.0,6.269121885299683,0.22871399202144227,2.53282383190966,3039388598.2915916,109593719.82698512
56.0,6.830562114715576,0.24919680261286636,2.759654513985229,3311585416.782277,123342089.3790729
58.0,7.286756277084351,0.2658399609245432,2.9439641298399017,3532756955.8078833,109407562.4114294
60.0,7.733229637145996,0.2821284788987066,3.1243463886899967,3749215666.4279947,130586710.65154576
62.0,8.36416244506836,0.3051465608306585,3.3792531653450553,4055103798.4140663,140946015.38851738
64.0,8.896105289459229,0.32455322953065036,3.5941664399850524,4312999727.982064,129048267.8559308
66.0,9.42887568473816,0.34399008945529364,3.8094140581981613,4571296869.83779,98600029.22480273
68.0,9.70960521697998,0.354231838327316,3.922833204067725,4707399844.881275,104559840.67842698
70.0,10.291547060012817,0.37546260149950017,4.157946860459578,4989536232.551497,162807952.73368692
72.0,11.052852869033813,0.4032370321001557,4.465526379846683,5358631655.816023,68552396.03482246
74.0,10.857138872146606,0.3960968727059817,4.386454847242316,5263745816.690787,21830150.142887354
76.0,11.232962608337402,0.40980790729316485,4.538293546989639,5445952256.387572,80865486.71142864
78.0,11.524319887161255,0.42043738420612176,4.656006469613754,5587207763.536502,90766217.70927262
80.0,11.981829643249512,0.4371285388236559,4.840847606020549,5809017127.224663,109941298.43522954
82.0,12.43139100074768,0.45352971503512585,5.0224774643978485,6026972957.27742,111647057.50468469
84.0,12.902974128723145,0.4707343031325659,5.213004464369501,6255605357.243402,128815238.76573467
86.0,13.494181632995605,0.49230310190361193,5.451861593616957,6542233912.340359,162866065.51895332
88.0,14.24670124053955,0.519756988853771,5.755891349432684,6907069619.319215,140244009.47480893
90.0,14.651265382766724,0.5345165487555295,5.91934162519966,7103209950.239594,118606720.95741463
92.0,15.225266456604004,0.5554576118619527,6.15124708595739,7381496503.148873,151528957.5422809
94.0,15.901455640792847,0.580126764975756,6.4244381503406025,7709325780.408718,162502044.25789165
96.0,16.565990209579468,0.6043707271835781,6.692920566817026,8031504680.18044,105063956.80919027
98.0,16.76828622817993,0.6117510159753223,6.774651339704565,8129581607.645479,111364584.86621022
