Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.18137145042419434,0.0066169057204814585,0.08593384052573327,103120608.63087986,-51560304.31543993
2.0,0.0,0.0,0.0,0.0,-11326258.820639767
4.0,0.10168766975402832,0.0037098326231839174,0.0481796444569369,57815573.3483208,152137589.73144805
6.0,1.0703356266021729,0.039048648031071664,0.5071252991048283,608550358.9257922,182365990.43591803
8.0,1.3846895694732666,0.050517103501736216,0.6560662792433263,787279535.091993,-75543738.19302128
10.0,0.5388617515563965,0.019659088561529536,0.25531283846142827,306375406.1537071,-96547597.87642622
12.0,0.7054469585418701,0.025736553380120153,0.3342409529885728,401089143.5862881,58019685.80449407
14.0,0.9470484256744385,0.034550807918016346,0.4487117911430687,538454149.3716834,50094036.07018834
16.0,1.0578742027282715,0.03859402263813516,0.5012210732225384,601465287.8670415,59904243.94623357
18.0,1.3684935569763184,0.049926230530882965,0.6483926042971859,778071125.1566176,55299564.53485119
20.0,1.4469239711761475,0.05278757753541363,0.6855529550053703,822663546.0064462,64909014.94944152
22.0,1.8251488208770752,0.06658621103457296,0.8647559874619901,1037707184.9543837,79433803.73037145
24.0,2.005765676498413,0.07317558715954231,0.950332300773276,1140398760.927932,56321143.48077276
26.0,2.2213857173919678,0.08104197119463796,1.052493132397899,1262991758.8774748,70811840.09319973
28.0,2.5039491653442383,0.0913506261167969,1.1863717677506145,1423646121.300731,75923598.15005684
30.0,2.7555320262908936,0.10052902805315256,1.3055717928980854,1566686151.4777021,86239325.78514391
32.0,3.1106698513031006,0.11348538640165051,1.4738361870344292,1768603424.4413066,80508079.81548387
34.0,3.3219316005706787,0.12119276853912675,1.5739320589497012,1888718470.7396376,84821755.79649365
36.0,3.7074174880981445,0.13525630372275055,1.7565753730227414,2107890447.6272812,102756506.98235351
38.0,4.044855833053589,0.14756693866459747,1.9164537488908735,2299744498.6690516,33509212.757335186
40.0,3.9431653022766113,0.1438570016637999,1.8682727488805213,2241927298.656622,59922848.91691804
42.0,4.4664318561553955,0.1629471365532731,2.1161965786139376,2539435894.336724,94849834.99592137
44.0,4.610463619232178,0.16820179264608637,2.1844388655335862,2621326638.6403074,79294995.06019425
46.0,5.024296998977661,0.18329951861872296,2.3805132288145856,2856615874.577501,124271715.30450284
48.0,5.4847540855407715,0.20009819957424213,2.5986779165486027,3118413499.858319,113677387.55283225
50.0,5.824053049087524,0.21247671475728325,2.759437853990697,3311325424.78883,90309374.92779696
52.0,6.1201088428497314,0.22327760580571,2.8997091663079217,3479650999.5695066,115916727.91334045
54.0,6.63956356048584,0.2422286749217073,3.145826947035161,3774992336.4421916,159264344.05785525
56.0,7.240583419799805,0.26415545411389285,3.4305903131674427,4116708375.8009276,165077262.12105215
58.0,7.800933837890625,0.2845985055327773,3.696084487438668,4435301384.9264,164354006.5939697
60.0,8.396865367889404,0.30633964913967837,3.978437001814008,4774124402.176806,185262875.87148857
62.0,9.104316234588623,0.3321493103397928,4.313627407010301,5176352888.412354,193836446.25157738
64.0,9.760565519332886,0.3560910036775833,4.624558489319263,5549470187.183116,158762857.07023597
66.0,10.221262693405151,0.37289844365448666,4.842836930577747,5811404316.693298,140895951.3330326
68.0,10.75181269645691,0.39225429785306165,5.094211660429373,6113053992.515246,156784155.7434981
70.0,11.324288368225098,0.4131397102953178,5.365450783056076,6438540939.667291,190402897.21714616
72.0,12.091356754302979,0.4411243748054625,5.728887984486526,6874665581.383831,107357560.28833723
74.0,12.079582452774048,0.44069481743599104,5.723309317350534,6867971180.82064,36329001.09216428
76.0,12.346942663192749,0.450448818419118,5.849984654793737,7019981585.752488,73785212.63047886
