Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.12615466117858887,0.004602452576001781,0.050855829569083966,61026995.48289654,-11164137.252878767
2.0,0.07999777793884277,0.002918528540359233,0.03224893414761354,38698720.977139,-15256748.870724134
4.0,0.0,0.0,0.0,0.0,105399158.74852158
6.0,0.9515199661254883,0.034713941429496575,0.3835794633093563,460295355.9712253,47536621.46560239
8.0,0.3930697441101074,0.014340214142123386,0.15845540488534127,190146485.86240956,-60281185.71879446
10.0,0.45306825637817383,0.016529117070993582,0.18264217758004264,219170613.0960475,36216552.13183341
12.0,0.6925363540649414,0.02526554070189313,0.2791772453247887,335012694.3897432,41689427.93461763
14.0,0.7977888584136963,0.029105427831269903,0.3216069373620982,385928324.834518,33828005.96896978
16.0,0.972252607345581,0.03547032250253235,0.39193726522135464,470324718.2656223,41788038.82896726
18.0,1.143324851989746,0.041711486211341686,0.4609004001253254,553080480.150387,47295111.27523081
20.0,1.3633253574371338,0.04973768107056031,0.5495876361387886,659505163.3665456,27166378.718165725
22.0,1.367957592010498,0.04990667712465502,0.5514549958525414,661745995.02305,35971264.74053928
24.0,1.6607637405395508,0.06058901260062299,0.6694918519405846,803390222.3287027,60217232.8054412
26.0,1.8658804893493652,0.06807220902096311,0.7521791052040108,902614926.2448148,60574077.375167996
28.0,2.161637306213379,0.07886219260879868,0.8714054431911471,1045686531.8293747,62305707.746816486
30.0,2.381072521209717,0.08686776419125275,0.9598647976933989,1151837757.2320807,45031501.07880589
32.0,2.5339927673339844,0.09244669543423845,1.0215104467871683,1225812536.1445982,45895989.91926581
34.0,2.7605762481689453,0.1007130544835646,1.1128514307576225,1335421716.909144,51150854.911473036
36.0,2.9569478034973145,0.10787720333253281,1.192013296492071,1430415955.7904904,65971322.65869051
38.0,3.3060784339904785,0.12061440348560293,1.3327558396199244,1599307007.543906,37868284.61218214
40.0,3.2700722217559814,0.11930080252387443,1.3182409118660203,1581889094.239219,40071546.09461051
42.0,3.637421131134033,0.13270265322414376,1.4663276599352884,1759593191.922348,83156981.35695201
44.0,3.95767879486084,0.14438649189988828,1.595430849722522,1914517019.667027,79148708.00401038
46.0,4.291884183883667,0.15657918013868688,1.7301566866153237,2076188023.9383895,69714903.61100984
48.0,4.534135818481445,0.16541715448920957,1.8278138617592248,2193376634.1110663,61046688.82817298
50.0,4.796665668487549,0.17499493126851906,1.9336456493759009,2320374779.2510815,76906002.16384232
52.0,5.1700544357299805,0.18861713180863537,2.0841672023053626,2501000642.7664356,100928884.70547748
54.0,5.631224155426025,0.20544181148800478,2.2700752650608287,2724090318.0729914,117936928.45952809
56.0,6.145248651504517,0.22419477189392634,2.4772902971704553,2972748356.604548,116408892.10103893
58.0,6.593783378601074,0.24055849393848483,2.6581049053976216,3189725886.477147,117378652.39625669
60.0,7.115826606750488,0.2596039987001304,2.8685524718246462,3442262966.1895747,124086499.89958906
62.0,7.619827032089233,0.2779912547415275,3.071726571729588,3686071886.0755033,126162807.06394184
64.0,8.159038782119751,0.29766311216441954,3.2890951620377855,3946914194.445342,129191228.36346984
