Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.0,0.0,0.0,0.0,96799113.41742201
3.0,0.518718957901001,0.018924226673106004,0.24199778354355672,290397340.25226605,73426247.35066472
6.0,0.7869408130645752,0.028709662714109907,0.3671312367533268,440557484.10398835,28494710.255775016
9.0,0.8241090774536133,0.030065658383114036,0.3844713348224289,461365601.78691614,23289177.110810768
12.0,1.0365409851074219,0.03781573096443691,0.4835771223073806,580292546.768853,34087299.260522224
15.0,1.1894373893737793,0.043393792393978226,0.554907831125039,665889397.3500495,25587731.43646705
18.0,1.3107757568359375,0.047820533956095534,0.6115157794897144,733818935.3876553,23871218.004848737
21.0,1.4452755451202393,0.05272743863387408,0.6742639211492829,809116705.3791419,16268848.288782358
24.0,1.4851360321044922,0.05418165363700944,0.692860020933626,831432025.1203494,7656182.471099277
27.0,1.5273301601409912,0.0557210059800739,0.7125448335047828,855053800.2057376,8878815.384121737
30.0,1.580294132232666,0.05765327045220103,0.7372540978542332,884704917.4250798,19765765.28531887
33.0,1.739168405532837,0.06344942020663358,0.8113736599313768,973648391.9176508,19541059.7712276
36.0,1.7897241115570068,0.06529382482275103,0.8349593967103743,1001951276.0524454,15893004.346542716
39.0,1.9095005989074707,0.06966358490613178,0.8908386816640892,1069006417.9969071,8221205.276008964
42.0,1.8778343200683594,0.06850831608567054,0.8760654230904166,1051278507.7084992,19119500.56995811
45.0,2.114412546157837,0.07713930962898541,0.9864361845138809,1183723421.4166558,22189942.02836609
48.0,2.1156535148620605,0.07718458341876167,0.9870151332322514,1184418159.8786957,15225517.072976192
51.0,2.2775909900665283,0.08309248680451908,1.0625637698787607,1275076523.854513,24141149.36887002
54.0,2.374384641647339,0.08662377282198985,1.1077208800765987,1329265056.0919158,13804895.933499614
57.0,2.425544023513794,0.08849020111451744,1.1315882495462617,1357905899.4555106,28319145.86440754
60.0,2.6778931617736816,0.09769655885497319,1.2493166093986332,1499179931.278361,23737742.79600354
63.0,2.6799516677856445,0.09777165854775483,1.2502769635262787,1500332356.2315319,17250402.72876243
66.0,2.8627731800079346,0.10444146632191931,1.3355686230424482,1602682347.6509356,33060407.741271496
69.0,3.0342743396759033,0.11069827797459197,1.4155790022326364,1698694802.6791608,26738465.703657944
72.0,3.149340867996216,0.11489620641204956,1.4692609515607344,1763113141.8728833,17782457.157087523
75.0,3.2248566150665283,0.1176512187230132,1.5044912880180732,1805389545.621686,20760556.016842287
78.0,3.371840715408325,0.1230135838146349,1.5730637316449503,1887676477.973937,35275428.83205807
81.0,3.6029186248779297,0.13144391139634792,1.6808684321783645,2017042118.6140344,43538100.40628203
84.0,3.8384573459625244,0.14003698107349116,1.7907542336763598,2148905080.411629,28010818.131975293
87.0,3.903122663497925,0.14239614128595024,1.8209225228382415,2185107027.405886,36770907.31782786
90.0,4.232547044754028,0.15441440583476185,1.9746087702654975,2369530524.3185964,43905223.968210064
93.0,4.373673915863037,0.15956308385752038,2.0404486426792907,2448538371.2151465,14894743.259589115
96.0,4.392180442810059,0.1602382504492612,2.0490824865634423,2458898983.876131,26246743.034271955
99.0,4.654971599578857,0.16982556038392072,2.1716823578506492,2606018829.4207783,37295954.29768944
102.0,4.791897296905518,0.1748209685796578,2.2355622580518926,2682674709.6622677,12971765.925756136
105.0,4.79399561882019,0.1748975208608914,2.236541187479432,2683849424.975315,31914278.36878546
108.0,5.133936405181885,0.1872994514218529,2.3951336498958185,2874160379.8749804,34622112.17649714
111.0,5.165055751800537,0.18843476672190174,2.4096517483619166,2891582098.034298,27087414.39131546
114.0,5.424243927001953,0.19789063044885724,2.5305707218523956,3036684866.222873,41900915.740454115
117.0,5.614125967025757,0.2048180247764193,2.6191563270641858,3142987592.4770226,52837918.844969116
120.0,5.990530729293823,0.21855025671724015,2.794760316077241,3353712379.292688,53484228.05206553
123.0,6.187339544296265,0.22573035794477692,2.886577467324514,3463892960.789416,32364801.690374535
