Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.0,0.0,0.0,0.0,272010410.6699394
0.5,0.30351686477661133,0.011073090467688784,0.11333767111247894,136005205.3349697,242531159.9274725
1.0,0.5412461757659912,0.019746078604095052,0.20210929993956128,242531159.9274725,-16127997.197089791
1.5,0.26752471923828125,0.009760002695892389,0.09989767344823619,119877208.13787991,-101013491.85767126
2.0,0.31581878662109375,0.011521896808682985,0.1179313900581711,141517668.06980124,111288330.09795892
2.5,0.5158820152282715,0.01882072757136788,0.1926379485298675,231165538.23583883,58666842.44260809
3.0,0.4467430114746094,0.01629835556421866,0.1668204254270087,200184510.51240933,25842593.67255053
3.5,0.5735538005828857,0.020924745406208034,0.2141734432569926,257008131.90838936,17692058.87463388
4.0,0.48622560501098633,0.017738784024261767,0.18156380782253834,217876569.3870432,18412125.52126214
4.5,0.6146433353424072,0.02242379929239746,0.2295168811913797,275420257.4296515,5530197.313961893
5.0,0.4985671043395996,0.0181890342555735,0.1861723055841722,223406766.7010051,-20606619.436454415
5.5,0.5686564445495605,0.020746077026612797,0.21234469832766933,254813637.99319708,30537770.079975784
6.0,0.5667169094085693,0.020675317702918194,0.21162044731748608,253944536.78098089,-25679136.407072514
6.5,0.5113494396209717,0.018655367337470308,0.19094541798844133,229134501.58612457,18715963.732393503
7.0,0.6084845066070557,0.022199109083463897,0.2272170837611469,272660500.5133744,94464517.757027
7.5,0.7221617698669434,0.02634635349152159,0.26966584945262895,323599019.34315157,35415954.52385181
8.0,0.6875207424163818,0.025082558047614167,0.25673037919769115,308076455.0372262,-76104313.95538598
8.5,0.5523231029510498,0.02015019393032058,0.2062455878231404,247494705.3877656,22142690.392721713
9.0,0.7369356155395508,0.026885342090421593,0.2751826211916253,330219145.4299479,46643866.14018881
9.5,0.6564161777496338,0.023947782031900955,0.24511547627329833,294138571.5279544,28705659.854005694
10.0,0.8009967803955078,0.02922246123020189,0.2991040044032971,358924805.2839536,89390184.59457189
10.5,0.8559043407440186,0.03122563289430902,0.31960729676877264,383528756.1225263,54119525.41781461
11.0,0.9217729568481445,0.0336286925913023,0.34420360891814283,413044330.7017682,64710701.54247284
11.5,1.0003163814544678,0.03649416251155868,0.37353288138750074,448239457.6649991,55979840.03469217
12.0,1.0467007160186768,0.03818638456746015,0.39085347561372075,469024170.7364604,50537567.77268726
