SSE Value,k_TL,k_TX,R_p,tau_m,K_TL,R,k_deg,X_p,K_p,tau_0,tau_f,N_p,N_m,D
1050742.2669791286,4.123471027440701,0.9483921295291751,32.19016309671875,771.9609769101996,5.084834744921714,80.74052469904689,0.03589641218774631,0.535816951122996,8.216745313015757,0.0,353.6945551369258,705.0,2115.0,100.0
95075.77923096981,37.728870891012505,2.63521684145239,42.155692349727076,559.9069710965657,2.8935519506562883,70.0857486667112,0.33356685829185295,5.345573746508649,29.39027794481962,0.0,206.32317491702509,705.0,2115.0,100.0
978698.2983361204,11.831102740082827,0.33899746800268815,24.302529123869505,685.6463924204058,5.257507290150905,63.828788620112334,0.0,0.7544163090204847,4.666236186473903,0.0,291.71271764237065,705.0,2115.0,100.0
1041525.2248374589,9.432884656907184,0.3586834852986698,27.40898473329827,740.0199449070335,4.670695636965505,69.37375774180481,0.0,0.8414963953479742,4.245810739978879,0.0,343.5818452511935,705.0,2115.0,100.0
962458.2690143166,8.558311756090724,0.5373971799800117,30.10007917416891,674.3997312042482,6.658016101543723,88.20604507795656,0.02419683313640064,0.7690984010843067,7.707884543531591,0.00019195957705431255,299.9682796200615,705.0,2115.0,100.0
1040419.5662777105,10.966161448999188,0.25480660006371636,29.49130769963645,821.4804120200913,4.696560928380812,80.40323346337885,0.0,0.3999799107543822,4.577042642990271,0.0,299.24662650035486,705.0,2115.0,100.0
91860.26750364018,12.948266007171306,27.279467321430953,65.59782641450502,540.6235053853829,4.448817687099265,73.74007486971851,1.9007658220795847,3.4019387804542873,24.829373919287846,0.7183140607185461,290.78277656145565,705.0,2115.0,100.0
768352.0090155228,9.65665111416206,0.8922820506118398,34.586554439564054,767.623217691892,6.945096369619158,67.0170232445829,0.09089043139719877,1.3498452971821564,26.819312273015182,0.0,359.0720999506302,705.0,2115.0,100.0
982938.1264301275,9.76058929644988,0.28041167845969994,32.372990517322364,752.469087612483,4.738303603849239,67.47128118223634,0.0,0.8499429897335347,3.8150480061388663,0.0,258.84306367709644,705.0,2115.0,100.0
651472.6985191137,9.664884070308815,1.1108054729461827,30.772700937768633,600.0981439400307,6.375512325154737,74.19897893253682,0.09563757368218262,1.1409596608943104,23.433270465040234,0.0,320.5390652049782,705.0,2115.0,100.0
877835.8933972635,3.874620035867835,0.9913064008943451,28.41522441347712,551.4904538046219,6.379952730503675,84.67766417496364,0.0,0.8554371352994679,5.7964801947863265,0.0,223.4032040814144,705.0,2115.0,100.0
790409.4139509043,6.30019049264407,2.898751068340431,35.33229817616797,785.2020039627996,14.452935220640263,76.66228987532236,0.32407015017712126,0.9140783154717269,18.962389718493746,6.205722539328466,286.9957116399793,705.0,2115.0,100.0
14021.566689886653,23.512223402266763,2.291152192495531,54.13410254406381,282.33031790605037,1.7532569626759553,86.70600083016092,0.2789664635508089,2.42780965441645,35.88680975222717,1.9418184390218585e-05,154.17312301793368,705.0,2115.0,100.0
